user_id,variant,device,exposure_date,sessions_14d
400224,treatment,android,2025-08-01,0
400225,treatment,ios,2025-08-01,6
400226,control,android,2025-08-01,12
400227,treatment,android,2025-08-01,8
400228,control,android,2025-08-01,12
400229,treatment,android,2025-08-01,4
400230,treatment,android,2025-08-01,11
400231,treatment,ios,2025-08-01,1
400232,control,ios,2025-08-01,8
400233,control,android,2025-08-01,5
400234,treatment,android,2025-08-01,2
400235,control,ios,2025-08-01,8
400236,control,android,2025-08-01,10
400237,control,ios,2025-08-01,1
400238,control,android,2025-08-01,6
400239,treatment,android,2025-08-01,13
400240,treatment,ios,2025-08-01,5
400241,treatment,android,2025-08-01,1
400242,treatment,android,2025-08-01,9
400243,control,ios,2025-08-01,7
400244,control,ios,2025-08-01,1
400245,control,android,2025-08-01,6
400246,treatment,android,2025-08-01,3
400247,treatment,android,2025-08-01,18
400248,treatment,android,2025-08-01,18
400249,control,ios,2025-08-01,5
400250,control,android,2025-08-01,4
400251,control,ios,2025-08-01,10
400252,control,ios,2025-08-01,6
400253,control,ios,2025-08-01,10
400254,control,ios,2025-08-01,11
400255,treatment,ios,2025-08-01,11
400256,control,ios,2025-08-01,4
400257,treatment,ios,2025-08-01,6
400258,control,android,2025-08-01,16
400259,control,android,2025-08-01,4
400260,treatment,ios,2025-08-01,4
400261,control,android,2025-08-01,1
400262,treatment,android,2025-08-01,8
400263,control,ios,2025-08-01,2
400264,treatment,android,2025-08-01,3
400265,control,ios,2025-08-01,8
400266,treatment,android,2025-08-01,4
400267,control,android,2025-08-01,4
400268,treatment,android,2025-08-01,0
400269,treatment,android,2025-08-01,9
400270,treatment,ios,2025-08-01,12
400271,control,ios,2025-08-01,10
400272,control,android,2025-08-01,1
400273,control,ios,2025-08-01,2
400274,treatment,android,2025-08-01,17
400275,treatment,ios,2025-08-01,5
400276,treatment,android,2025-08-01,17
400277,control,android,2025-08-01,1
400278,control,android,2025-08-01,22
400279,treatment,android,2025-08-01,7
400280,treatment,ios,2025-08-01,15
400281,control,ios,2025-08-01,11
400282,control,android,2025-08-01,9
400283,control,android,2025-08-01,6
400284,treatment,android,2025-08-01,3
400285,control,android,2025-08-01,11
400286,control,android,2025-08-01,12
400287,control,ios,2025-08-01,12
400288,control,ios,2025-08-01,5
400289,control,ios,2025-08-01,4
400290,treatment,android,2025-08-01,9
400291,treatment,ios,2025-08-01,12
400292,treatment,ios,2025-08-01,7
400293,control,ios,2025-08-01,8
400294,treatment,ios,2025-08-01,25
400295,treatment,ios,2025-08-01,11
400296,control,ios,2025-08-01,5
400297,control,android,2025-08-01,4
400298,control,android,2025-08-01,8
400299,control,android,2025-08-01,4
400300,treatment,ios,2025-08-01,9
400301,control,ios,2025-08-01,16
400302,control,ios,2025-08-01,4
400303,treatment,ios,2025-08-01,1
400304,control,android,2025-08-01,13
400305,control,android,2025-08-01,9
400306,treatment,ios,2025-08-01,4
400307,treatment,android,2025-08-01,13
400308,control,android,2025-08-01,4
400309,treatment,ios,2025-08-01,6
400310,control,android,2025-08-01,20
400311,treatment,ios,2025-08-01,2
400312,control,android,2025-08-01,15
400313,treatment,ios,2025-08-01,0
400314,control,android,2025-08-01,5
400315,control,ios,2025-08-01,12
400316,treatment,android,2025-08-01,7
400317,treatment,android,2025-08-01,12
400318,treatment,android,2025-08-01,11
400319,control,android,2025-08-01,8
400320,treatment,android,2025-08-01,0
400321,control,ios,2025-08-01,26
400322,control,ios,2025-08-01,10
400323,treatment,android,2025-08-01,8
400324,control,ios,2025-08-01,9
400325,control,android,2025-08-01,11
400326,control,android,2025-08-01,4
400327,treatment,ios,2025-08-01,13
400328,treatment,ios,2025-08-01,0
400329,control,ios,2025-08-01,10
400330,treatment,ios,2025-08-01,22
400331,treatment,android,2025-08-01,0
400332,treatment,android,2025-08-01,6
400333,control,ios,2025-08-01,5
400334,control,android,2025-08-01,10
400335,treatment,android,2025-08-01,10
400336,control,android,2025-08-01,10
400337,control,android,2025-08-01,5
400338,control,android,2025-08-01,10
400339,treatment,android,2025-08-01,22
400340,treatment,ios,2025-08-01,15
400341,treatment,ios,2025-08-01,11
400342,treatment,ios,2025-08-01,13
400343,treatment,android,2025-08-01,18
400344,treatment,android,2025-08-01,9
400345,control,android,2025-08-01,5
400346,treatment,ios,2025-08-01,3
400347,treatment,android,2025-08-01,17
400348,control,ios,2025-08-01,1
400349,treatment,ios,2025-08-01,7
400350,control,ios,2025-08-01,10
400351,treatment,ios,2025-08-01,5
400352,control,ios,2025-08-01,18
400353,control,ios,2025-08-01,4
400354,treatment,ios,2025-08-01,4
400355,treatment,ios,2025-08-01,13
400356,control,ios,2025-08-01,12
400357,control,ios,2025-08-01,5
400358,treatment,android,2025-08-01,9
400359,treatment,ios,2025-08-01,9
400360,control,android,2025-08-01,7
400361,control,ios,2025-08-01,3
400362,control,ios,2025-08-01,13
400363,treatment,android,2025-08-01,13
400364,treatment,ios,2025-08-01,7
400365,control,android,2025-08-01,13
400366,control,ios,2025-08-01,6
400367,treatment,android,2025-08-01,0
400368,control,android,2025-08-01,5
400369,treatment,android,2025-08-01,5
400370,control,ios,2025-08-01,4
400371,control,android,2025-08-01,6
400372,treatment,android,2025-08-01,1
400373,control,android,2025-08-01,1
400374,treatment,android,2025-08-01,1
400375,treatment,android,2025-08-01,5
400376,treatment,ios,2025-08-01,22
400377,treatment,ios,2025-08-01,2
400378,control,android,2025-08-01,6
400379,treatment,android,2025-08-01,0
400380,control,ios,2025-08-01,9
400381,control,android,2025-08-01,12
400382,control,ios,2025-08-01,11
400383,control,ios,2025-08-01,8
400384,treatment,ios,2025-08-01,8
400385,treatment,android,2025-08-01,6
400386,control,android,2025-08-01,2
400387,treatment,ios,2025-08-01,7
400388,treatment,android,2025-08-01,2
400389,control,android,2025-08-01,8
400390,treatment,android,2025-08-01,8
400391,control,ios,2025-08-01,10
400392,control,android,2025-08-01,6
400393,treatment,ios,2025-08-01,6
400394,treatment,android,2025-08-01,7
400395,control,ios,2025-08-01,7
400396,treatment,android,2025-08-01,3
400397,treatment,ios,2025-08-01,12
400398,control,ios,2025-08-01,8
400399,control,ios,2025-08-01,14
400400,control,ios,2025-08-01,21
400401,treatment,android,2025-08-01,3
400402,treatment,android,2025-08-01,12
400403,treatment,android,2025-08-01,8
400404,treatment,android,2025-08-01,4
400405,control,android,2025-08-01,7
400406,treatment,ios,2025-08-01,11
400407,treatment,ios,2025-08-01,10
400408,control,ios,2025-08-01,8
400409,control,ios,2025-08-01,2
400410,treatment,ios,2025-08-01,7
400411,treatment,android,2025-08-01,10
400412,treatment,ios,2025-08-01,11
400413,treatment,android,2025-08-01,4
400414,treatment,android,2025-08-01,6
400415,control,android,2025-08-01,13
400416,treatment,ios,2025-08-01,10
400417,treatment,android,2025-08-01,7
400418,treatment,ios,2025-08-01,4
400419,treatment,android,2025-08-01,1
400420,treatment,android,2025-08-01,13
400421,treatment,ios,2025-08-01,25
400422,control,ios,2025-08-01,1
400423,control,ios,2025-08-01,6
400424,treatment,android,2025-08-01,4
400425,control,ios,2025-08-01,5
400426,control,ios,2025-08-01,4
400427,control,android,2025-08-01,3
400428,treatment,ios,2025-08-01,6
400429,treatment,android,2025-08-01,13
400430,treatment,ios,2025-08-01,2
400431,treatment,ios,2025-08-01,15
400432,control,ios,2025-08-01,8
400433,treatment,android,2025-08-01,6
400434,control,android,2025-08-01,6
400435,control,android,2025-08-01,12
400436,control,android,2025-08-01,12
400437,treatment,android,2025-08-01,6
400438,treatment,android,2025-08-01,12
400439,control,ios,2025-08-01,3
400440,treatment,ios,2025-08-01,4
400441,control,ios,2025-08-01,7
400442,treatment,ios,2025-08-01,11
400443,treatment,ios,2025-08-01,7
400444,control,android,2025-08-01,29
400445,control,ios,2025-08-01,5
400446,treatment,android,2025-08-01,10
400447,control,android,2025-08-01,26
400448,treatment,android,2025-08-01,5
400449,control,android,2025-08-01,13
400450,treatment,ios,2025-08-01,3
400451,treatment,android,2025-08-01,7
400452,treatment,ios,2025-08-01,5
400453,treatment,ios,2025-08-01,10
400454,control,android,2025-08-01,11
400455,control,ios,2025-08-01,4
400456,treatment,android,2025-08-01,11
400457,treatment,ios,2025-08-01,8
400458,control,android,2025-08-01,10
400459,treatment,ios,2025-08-01,3
400460,control,ios,2025-08-01,7
400461,control,android,2025-08-01,6
400462,control,ios,2025-08-01,8
400463,treatment,ios,2025-08-02,0
400464,control,ios,2025-08-02,8
400465,treatment,ios,2025-08-02,2
400466,control,android,2025-08-02,15
400467,control,android,2025-08-02,10
400468,control,ios,2025-08-02,6
400469,control,android,2025-08-02,1
400470,treatment,ios,2025-08-02,14
400471,control,android,2025-08-02,13
400472,control,ios,2025-08-02,8
400473,treatment,ios,2025-08-02,9
400474,treatment,android,2025-08-02,11
400475,treatment,android,2025-08-02,8
400476,treatment,android,2025-08-02,2
400477,treatment,ios,2025-08-02,9
400478,treatment,android,2025-08-02,11
400479,treatment,ios,2025-08-02,11
400480,treatment,android,2025-08-02,16
400481,treatment,ios,2025-08-02,5
400482,control,android,2025-08-02,9
400483,treatment,ios,2025-08-02,5
400484,control,ios,2025-08-02,15
400485,control,ios,2025-08-02,1
400486,control,ios,2025-08-02,2
400487,treatment,ios,2025-08-02,3
400488,control,android,2025-08-02,14
400489,treatment,ios,2025-08-02,17
400490,treatment,ios,2025-08-02,12
400491,treatment,ios,2025-08-02,18
400492,treatment,ios,2025-08-02,18
400493,treatment,android,2025-08-02,8
400494,treatment,ios,2025-08-02,2
400495,control,android,2025-08-02,9
400496,control,ios,2025-08-02,10
400497,treatment,android,2025-08-02,2
400498,treatment,ios,2025-08-02,7
400499,control,android,2025-08-02,8
400500,treatment,ios,2025-08-02,10
400501,treatment,ios,2025-08-02,14
400502,control,android,2025-08-02,6
400503,control,ios,2025-08-02,8
400504,control,android,2025-08-02,11
400505,control,ios,2025-08-02,5
400506,control,android,2025-08-02,4
400507,treatment,android,2025-08-02,0
400508,treatment,android,2025-08-02,2
400509,control,ios,2025-08-02,22
400510,treatment,android,2025-08-02,3
400511,control,ios,2025-08-02,17
400512,treatment,ios,2025-08-02,18
400513,treatment,ios,2025-08-02,21
400514,treatment,android,2025-08-02,2
400515,treatment,ios,2025-08-02,6
400516,control,android,2025-08-02,5
400517,treatment,android,2025-08-02,10
400518,treatment,ios,2025-08-02,6
400519,control,android,2025-08-02,0
400520,treatment,android,2025-08-02,1
400521,treatment,android,2025-08-02,2
400522,control,ios,2025-08-02,6
400523,treatment,ios,2025-08-02,24
400524,treatment,ios,2025-08-02,8
400525,control,ios,2025-08-02,15
400526,treatment,ios,2025-08-02,4
400527,control,ios,2025-08-02,3
400528,treatment,android,2025-08-02,11
400529,control,android,2025-08-02,26
400530,treatment,android,2025-08-02,13
400531,control,ios,2025-08-02,7
400532,treatment,android,2025-08-02,16
400533,control,ios,2025-08-02,3
400534,control,android,2025-08-02,9
400535,control,ios,2025-08-02,11
400536,treatment,ios,2025-08-02,3
400537,treatment,ios,2025-08-02,19
400538,control,android,2025-08-02,11
400539,control,ios,2025-08-02,10
400540,control,android,2025-08-02,10
400541,control,ios,2025-08-02,20
400542,treatment,ios,2025-08-02,0
400543,treatment,ios,2025-08-02,2
400544,control,ios,2025-08-02,24
400545,treatment,ios,2025-08-02,10
400546,control,ios,2025-08-02,6
400547,treatment,ios,2025-08-02,2
400548,treatment,ios,2025-08-02,9
400549,treatment,android,2025-08-02,4
400550,treatment,ios,2025-08-02,3
400551,control,android,2025-08-02,10
400552,treatment,android,2025-08-02,13
400553,treatment,android,2025-08-02,16
400554,control,ios,2025-08-02,4
400555,control,ios,2025-08-02,12
400556,control,ios,2025-08-02,12
400557,control,android,2025-08-02,10
400558,control,android,2025-08-02,7
400559,treatment,ios,2025-08-02,8
400560,treatment,android,2025-08-02,8
400561,treatment,ios,2025-08-02,2
400562,control,ios,2025-08-02,2
400563,treatment,ios,2025-08-02,5
400564,control,android,2025-08-02,5
400565,treatment,android,2025-08-02,1
400566,control,android,2025-08-02,18
400567,control,android,2025-08-02,5
400568,control,ios,2025-08-02,1
400569,control,ios,2025-08-02,5
400570,control,android,2025-08-02,7
400571,treatment,android,2025-08-02,2
400572,treatment,android,2025-08-02,12
400573,control,ios,2025-08-02,18
400574,treatment,ios,2025-08-02,14
400575,treatment,android,2025-08-02,3
400576,control,android,2025-08-02,7
400577,control,android,2025-08-02,21
400578,control,android,2025-08-02,10
400579,treatment,ios,2025-08-02,6
400580,control,ios,2025-08-02,6
400581,treatment,android,2025-08-02,8
400582,control,android,2025-08-02,7
400583,control,ios,2025-08-02,14
400584,treatment,android,2025-08-02,8
400585,control,ios,2025-08-02,6
400586,treatment,android,2025-08-02,5
400587,treatment,android,2025-08-02,7
400588,treatment,ios,2025-08-02,3
400589,control,ios,2025-08-02,21
400590,treatment,android,2025-08-02,10
400591,control,ios,2025-08-02,0
400592,control,ios,2025-08-02,20
400593,control,ios,2025-08-02,2
400594,control,android,2025-08-02,11
400595,control,ios,2025-08-02,18
400596,treatment,android,2025-08-02,3
400597,control,android,2025-08-02,5
400598,control,ios,2025-08-02,20
400599,treatment,android,2025-08-02,8
400600,control,ios,2025-08-02,14
400601,treatment,android,2025-08-02,9
400602,control,android,2025-08-02,12
400603,treatment,ios,2025-08-02,16
400604,treatment,android,2025-08-02,5
400605,treatment,android,2025-08-02,9
400606,treatment,android,2025-08-02,17
400607,control,ios,2025-08-02,11
400608,control,ios,2025-08-02,2
400609,control,ios,2025-08-02,9
400610,treatment,android,2025-08-02,4
400611,treatment,android,2025-08-02,6
400612,control,ios,2025-08-02,3
400613,treatment,ios,2025-08-02,2
400614,control,ios,2025-08-02,17
400615,treatment,ios,2025-08-02,13
400616,control,android,2025-08-02,6
400617,treatment,android,2025-08-02,0
400618,control,ios,2025-08-02,3
400619,treatment,ios,2025-08-02,11
400620,control,ios,2025-08-02,8
400621,control,ios,2025-08-02,0
400622,control,android,2025-08-02,3
400623,control,android,2025-08-02,15
400624,control,android,2025-08-02,5
400625,control,ios,2025-08-02,8
400626,control,android,2025-08-02,5
400627,control,android,2025-08-02,7
400628,control,android,2025-08-02,6
400629,control,android,2025-08-02,17
400630,control,android,2025-08-02,4
400631,treatment,ios,2025-08-02,18
400632,control,android,2025-08-02,11
400633,control,android,2025-08-02,12
400634,control,android,2025-08-02,1
400635,control,android,2025-08-02,3
400636,control,ios,2025-08-02,7
400637,treatment,ios,2025-08-02,8
400638,treatment,ios,2025-08-02,0
400639,treatment,android,2025-08-02,4
400640,control,android,2025-08-02,14
400641,treatment,android,2025-08-02,4
400642,treatment,android,2025-08-02,14
400643,treatment,ios,2025-08-02,13
400644,treatment,android,2025-08-02,6
400645,control,ios,2025-08-02,6
400646,control,android,2025-08-02,4
400647,treatment,ios,2025-08-02,9
400648,control,ios,2025-08-02,15
400649,control,android,2025-08-02,14
400650,control,ios,2025-08-02,9
400651,control,android,2025-08-02,7
400652,treatment,android,2025-08-02,8
400653,treatment,ios,2025-08-02,2
400654,treatment,ios,2025-08-02,16
400655,control,ios,2025-08-02,5
400656,control,android,2025-08-02,7
400657,treatment,android,2025-08-02,5
400658,treatment,ios,2025-08-02,4
400659,control,ios,2025-08-02,8
400660,control,ios,2025-08-02,5
400661,control,ios,2025-08-02,7
400662,treatment,ios,2025-08-02,13
400663,treatment,android,2025-08-02,7
400664,treatment,ios,2025-08-02,7
400665,treatment,ios,2025-08-02,13
400666,treatment,android,2025-08-02,14
400667,treatment,ios,2025-08-02,9
400668,treatment,ios,2025-08-02,6
400669,treatment,android,2025-08-02,13
400670,control,android,2025-08-02,13
400671,treatment,ios,2025-08-02,22
400672,treatment,android,2025-08-02,12
400673,control,android,2025-08-02,10
400674,treatment,android,2025-08-02,10
400675,treatment,ios,2025-08-02,4
400676,control,android,2025-08-02,4
400677,treatment,ios,2025-08-02,5
400678,control,android,2025-08-02,14
400679,treatment,ios,2025-08-02,15
400680,treatment,ios,2025-08-02,6
400681,treatment,ios,2025-08-02,9
400682,control,ios,2025-08-02,12
400683,control,ios,2025-08-02,8
400684,treatment,android,2025-08-02,2
400685,control,android,2025-08-02,2
400686,control,ios,2025-08-02,1
400687,treatment,ios,2025-08-02,8
400688,control,android,2025-08-02,0
400689,control,android,2025-08-02,6
400690,treatment,ios,2025-08-02,9
400691,treatment,ios,2025-08-02,5
400692,control,ios,2025-08-02,6
400693,control,ios,2025-08-02,14
400694,treatment,ios,2025-08-02,1
400695,treatment,ios,2025-08-02,6
400696,treatment,android,2025-08-02,10
400697,treatment,ios,2025-08-02,1
400698,control,android,2025-08-02,8
400699,control,ios,2025-08-02,8
400700,treatment,android,2025-08-02,20
400701,control,android,2025-08-02,11
400702,treatment,ios,2025-08-02,2
400703,treatment,android,2025-08-02,24
400704,treatment,ios,2025-08-02,19
400705,control,android,2025-08-02,7
400706,control,android,2025-08-02,8
400707,control,android,2025-08-02,15
400708,treatment,ios,2025-08-02,1
400709,control,android,2025-08-02,11
400710,treatment,android,2025-08-02,16
400711,treatment,android,2025-08-02,15
400712,control,ios,2025-08-02,9
400713,control,ios,2025-08-02,10
400714,control,android,2025-08-02,11
400715,control,ios,2025-08-02,15
400716,control,ios,2025-08-02,18
400717,treatment,ios,2025-08-02,1
400718,control,ios,2025-08-02,7
400719,control,android,2025-08-02,5
400720,treatment,ios,2025-08-02,1
400721,control,android,2025-08-02,8
400722,treatment,android,2025-08-02,1
400723,treatment,ios,2025-08-02,17
400724,control,ios,2025-08-02,11
400725,treatment,android,2025-08-02,4
400726,control,android,2025-08-02,25
400727,treatment,android,2025-08-02,11
400728,treatment,android,2025-08-02,4
400729,treatment,ios,2025-08-02,4
400730,treatment,ios,2025-08-02,6
400731,control,android,2025-08-02,23
400732,treatment,ios,2025-08-02,7
400733,control,ios,2025-08-02,9
400734,treatment,android,2025-08-02,10
400735,treatment,ios,2025-08-02,5
400736,treatment,android,2025-08-02,15
400737,control,ios,2025-08-02,0
400738,treatment,android,2025-08-02,1
400739,control,android,2025-08-02,4
400740,control,android,2025-08-02,7
400741,treatment,ios,2025-08-02,7
400742,control,ios,2025-08-02,17
400743,control,ios,2025-08-02,12
400744,control,ios,2025-08-02,12
400745,treatment,android,2025-08-02,13
400746,control,ios,2025-08-02,2
400747,control,android,2025-08-02,4
400748,control,android,2025-08-02,4
400749,treatment,android,2025-08-02,5
400750,control,ios,2025-08-02,13
400751,treatment,ios,2025-08-02,16
400752,treatment,android,2025-08-02,6
400753,treatment,android,2025-08-02,6
400754,treatment,android,2025-08-02,2
400755,treatment,ios,2025-08-02,5
400756,control,ios,2025-08-02,15
400757,control,ios,2025-08-02,5
400758,treatment,android,2025-08-02,3
400759,treatment,android,2025-08-02,6
400760,control,android,2025-08-02,3
400761,treatment,ios,2025-08-02,8
400762,control,ios,2025-08-02,7
400763,treatment,android,2025-08-02,10
400764,treatment,android,2025-08-02,5
400765,treatment,android,2025-08-02,2
400766,control,ios,2025-08-02,4
400767,control,android,2025-08-02,3
400768,control,ios,2025-08-02,11
400769,treatment,android,2025-08-02,6
400770,treatment,android,2025-08-02,6
400771,treatment,android,2025-08-02,4
400772,treatment,android,2025-08-02,10
400773,treatment,android,2025-08-02,8
400774,control,ios,2025-08-02,11
400775,control,ios,2025-08-02,23
400776,treatment,android,2025-08-02,11
400777,control,android,2025-08-02,10
400778,control,android,2025-08-02,7
400779,control,android,2025-08-02,8
400780,treatment,ios,2025-08-02,15
400781,control,android,2025-08-02,5
400782,treatment,ios,2025-08-02,17
400783,control,ios,2025-08-02,5
400784,control,ios,2025-08-02,4
400785,control,ios,2025-08-02,15
400786,control,android,2025-08-02,7
400787,control,ios,2025-08-02,1
400788,control,ios,2025-08-02,9
400789,control,ios,2025-08-02,6
400790,treatment,ios,2025-08-02,3
400791,treatment,android,2025-08-02,12
400792,treatment,ios,2025-08-02,17
400793,treatment,android,2025-08-02,4
400794,control,ios,2025-08-02,7
400795,treatment,ios,2025-08-02,6
400796,treatment,ios,2025-08-02,5
400797,treatment,android,2025-08-02,1
