user_id,variant,country_tier,pre_period_sessions,exposure_date,active_days_30
500084,holdout,tier_2,13,2025-08-10,8
500085,control,tier_1,17,2025-08-10,22
500086,treatment,tier_2,7,2025-08-10,13
500087,control,tier_2,5,2025-08-10,10
500088,treatment,tier_2,12,2025-08-10,16
500089,treatment,tier_3,5,2025-08-10,6
500090,treatment,tier_2,7,2025-08-10,11
500091,treatment,tier_1,25,2025-08-10,23
500092,treatment,tier_2,11,2025-08-10,15
500093,treatment,tier_3,8,2025-08-10,18
500094,holdout,tier_1,8,2025-08-10,9
500095,treatment,tier_2,13,2025-08-10,17
500096,control,tier_1,17,2025-08-10,12
500097,control,tier_1,17,2025-08-10,13
500098,treatment,tier_1,11,2025-08-10,10
500099,control,tier_2,10,2025-08-10,4
500100,control,tier_2,19,2025-08-10,12
500101,treatment,tier_3,8,2025-08-10,15
500102,control,tier_3,8,2025-08-10,11
500103,control,tier_1,14,2025-08-10,10
500104,treatment,tier_2,13,2025-08-10,6
500105,treatment,tier_2,24,2025-08-10,20
500106,treatment,tier_1,5,2025-08-10,10
500107,treatment,tier_2,6,2025-08-10,8
500108,control,tier_2,8,2025-08-10,11
500109,treatment,tier_1,13,2025-08-10,12
500110,holdout,tier_2,10,2025-08-10,18
500111,holdout,tier_1,22,2025-08-10,22
500112,control,tier_2,8,2025-08-10,4
500113,control,tier_2,13,2025-08-10,12
500114,control,tier_1,11,2025-08-10,11
500115,treatment,tier_1,7,2025-08-10,12
500116,holdout,tier_1,19,2025-08-10,24
500117,treatment,tier_2,14,2025-08-10,19
500118,holdout,tier_1,10,2025-08-10,11
500119,treatment,tier_1,15,2025-08-10,26
500120,control,tier_1,8,2025-08-10,7
500121,control,tier_1,5,2025-08-10,21
500122,control,tier_1,7,2025-08-10,0
500123,control,tier_1,7,2025-08-10,3
500124,treatment,tier_3,13,2025-08-10,10
500125,control,tier_3,24,2025-08-10,10
500126,control,tier_1,18,2025-08-10,10
500127,control,tier_1,24,2025-08-10,24
500128,treatment,tier_2,7,2025-08-10,3
500129,treatment,tier_1,4,2025-08-10,8
500130,control,tier_1,5,2025-08-10,6
500131,control,tier_3,11,2025-08-10,9
500132,control,tier_1,16,2025-08-10,8
500133,control,tier_1,20,2025-08-10,10
500134,treatment,tier_3,4,2025-08-10,13
500135,control,tier_2,20,2025-08-10,19
500136,treatment,tier_2,8,2025-08-10,20
500137,control,tier_2,5,2025-08-10,10
500138,treatment,tier_3,18,2025-08-10,16
500139,treatment,tier_3,5,2025-08-10,10
500140,control,tier_1,1,2025-08-10,6
500141,control,tier_1,5,2025-08-10,7
500142,treatment,tier_2,2,2025-08-10,6
500143,control,tier_2,13,2025-08-10,16
500144,holdout,tier_2,14,2025-08-10,14
500145,control,tier_1,6,2025-08-10,15
500146,control,tier_1,6,2025-08-10,4
500147,control,tier_2,9,2025-08-10,13
500148,treatment,tier_1,12,2025-08-10,25
500149,control,tier_1,9,2025-08-10,14
500150,treatment,tier_1,14,2025-08-10,23
500151,control,tier_2,5,2025-08-10,13
500152,treatment,tier_3,14,2025-08-10,16
500153,control,tier_1,13,2025-08-10,11
500154,holdout,tier_1,31,2025-08-10,14
500155,treatment,tier_1,17,2025-08-10,9
500156,treatment,tier_3,11,2025-08-10,13
500157,treatment,tier_1,11,2025-08-10,18
500158,holdout,tier_2,12,2025-08-10,8
500159,control,tier_1,9,2025-08-10,9
500160,control,tier_1,10,2025-08-10,12
500161,holdout,tier_1,18,2025-08-10,20
500162,control,tier_1,2,2025-08-10,14
500163,treatment,tier_2,5,2025-08-10,5
500164,control,tier_1,11,2025-08-10,12
500165,treatment,tier_2,14,2025-08-10,16
500166,treatment,tier_1,10,2025-08-10,13
500167,control,tier_1,8,2025-08-10,3
500168,holdout,tier_1,2,2025-08-10,9
500169,treatment,tier_1,13,2025-08-10,26
500170,holdout,tier_2,16,2025-08-10,15
500171,control,tier_2,8,2025-08-10,10
500172,treatment,tier_2,10,2025-08-10,11
500173,treatment,tier_2,5,2025-08-10,7
500174,control,tier_3,18,2025-08-10,19
500175,treatment,tier_2,7,2025-08-10,19
500176,holdout,tier_1,10,2025-08-10,9
500177,control,tier_3,4,2025-08-10,12
500178,treatment,tier_1,15,2025-08-10,22
500179,treatment,tier_2,15,2025-08-10,23
500180,treatment,tier_2,2,2025-08-10,12
500181,control,tier_1,21,2025-08-10,17
500182,treatment,tier_1,11,2025-08-10,15
500183,holdout,tier_1,17,2025-08-10,13
500184,treatment,tier_2,13,2025-08-10,10
500185,control,tier_2,8,2025-08-10,18
500186,treatment,tier_1,9,2025-08-10,14
500187,control,tier_1,4,2025-08-10,14
500188,holdout,tier_3,5,2025-08-10,13
500189,control,tier_3,4,2025-08-10,3
500190,holdout,tier_2,6,2025-08-10,10
500191,control,tier_2,12,2025-08-10,9
500192,treatment,tier_1,9,2025-08-10,18
500193,control,tier_2,17,2025-08-10,23
500194,treatment,tier_1,13,2025-08-10,21
500195,treatment,tier_1,15,2025-08-10,18
500196,treatment,tier_1,5,2025-08-10,12
500197,treatment,tier_3,13,2025-08-10,19
500198,control,tier_2,7,2025-08-10,10
500199,treatment,tier_3,11,2025-08-10,16
500200,treatment,tier_3,8,2025-08-10,11
500201,control,tier_1,3,2025-08-10,12
500202,treatment,tier_2,10,2025-08-10,15
500203,control,tier_2,6,2025-08-10,11
500204,treatment,tier_2,5,2025-08-10,11
500205,treatment,tier_2,20,2025-08-10,15
500206,treatment,tier_3,15,2025-08-10,16
500207,treatment,tier_2,7,2025-08-10,16
500208,holdout,tier_1,15,2025-08-10,19
500209,control,tier_3,22,2025-08-10,20
500210,control,tier_3,3,2025-08-10,4
500211,control,tier_1,6,2025-08-10,10
500212,treatment,tier_3,7,2025-08-10,11
500213,treatment,tier_2,10,2025-08-10,10
500214,control,tier_1,25,2025-08-10,24
500215,holdout,tier_2,13,2025-08-10,12
500216,holdout,tier_2,17,2025-08-10,9
500217,control,tier_3,19,2025-08-10,20
500218,treatment,tier_3,13,2025-08-10,16
500219,treatment,tier_3,9,2025-08-10,13
500220,holdout,tier_1,20,2025-08-10,16
500221,treatment,tier_3,15,2025-08-10,24
500222,control,tier_3,8,2025-08-10,12
500223,holdout,tier_3,7,2025-08-10,21
500224,control,tier_1,8,2025-08-10,9
500225,control,tier_3,14,2025-08-10,20
500226,control,tier_3,10,2025-08-10,14
500227,control,tier_1,15,2025-08-10,11
500228,control,tier_3,26,2025-08-10,18
500229,treatment,tier_3,11,2025-08-10,10
500230,control,tier_3,9,2025-08-10,16
500231,treatment,tier_2,16,2025-08-10,10
500232,control,tier_1,13,2025-08-10,13
500233,treatment,tier_1,2,2025-08-10,8
500234,treatment,tier_2,25,2025-08-10,20
500235,control,tier_2,1,2025-08-10,12
500236,control,tier_1,13,2025-08-10,20
500237,treatment,tier_1,16,2025-08-10,10
500238,control,tier_1,5,2025-08-10,14
500239,treatment,tier_2,8,2025-08-10,9
500240,control,tier_2,7,2025-08-10,10
500241,control,tier_1,8,2025-08-10,15
500242,control,tier_3,3,2025-08-10,5
500243,control,tier_2,8,2025-08-10,16
500244,treatment,tier_1,15,2025-08-10,17
500245,holdout,tier_3,7,2025-08-10,6
500246,holdout,tier_1,5,2025-08-10,12
500247,treatment,tier_2,7,2025-08-10,23
500248,treatment,tier_3,8,2025-08-10,14
500249,holdout,tier_3,9,2025-08-10,7
500250,holdout,tier_1,11,2025-08-10,12
500251,treatment,tier_3,3,2025-08-10,18
500252,control,tier_3,8,2025-08-10,8
500253,control,tier_3,3,2025-08-10,19
500254,treatment,tier_3,18,2025-08-10,17
500255,treatment,tier_1,9,2025-08-10,7
500256,treatment,tier_3,8,2025-08-10,14
500257,control,tier_3,5,2025-08-10,6
500258,holdout,tier_2,12,2025-08-10,12
500259,control,tier_1,7,2025-08-10,11
500260,treatment,tier_1,14,2025-08-10,15
500261,holdout,tier_3,20,2025-08-10,18
500262,control,tier_3,11,2025-08-10,2
500263,treatment,tier_1,12,2025-08-10,20
500264,treatment,tier_3,15,2025-08-10,9
500265,holdout,tier_2,9,2025-08-10,12
500266,treatment,tier_3,2,2025-08-10,15
500267,control,tier_3,9,2025-08-10,13
500268,control,tier_3,7,2025-08-10,14
500269,treatment,tier_2,22,2025-08-10,23
500270,treatment,tier_1,9,2025-08-10,18
500271,treatment,tier_1,6,2025-08-10,17
500272,control,tier_3,12,2025-08-10,16
500273,treatment,tier_2,15,2025-08-10,7
500274,treatment,tier_3,4,2025-08-10,13
500275,treatment,tier_2,9,2025-08-10,8
500276,control,tier_2,18,2025-08-10,22
500277,treatment,tier_3,4,2025-08-10,8
500278,treatment,tier_1,2,2025-08-10,8
500279,control,tier_3,3,2025-08-10,4
500280,treatment,tier_3,5,2025-08-10,21
500281,control,tier_1,9,2025-08-10,20
500282,treatment,tier_2,5,2025-08-10,17
500283,control,tier_2,9,2025-08-10,16
500284,control,tier_1,3,2025-08-10,9
500285,treatment,tier_2,12,2025-08-10,19
500286,treatment,tier_1,3,2025-08-10,20
500287,holdout,tier_3,16,2025-08-10,14
500288,control,tier_1,18,2025-08-10,20
500289,control,tier_3,12,2025-08-10,16
500290,holdout,tier_3,10,2025-08-10,15
500291,control,tier_1,3,2025-08-10,11
500292,treatment,tier_1,23,2025-08-10,25
500293,control,tier_1,6,2025-08-10,8
500294,treatment,tier_3,21,2025-08-10,25
500295,treatment,tier_1,10,2025-08-10,15
500296,treatment,tier_3,6,2025-08-10,11
500297,treatment,tier_3,9,2025-08-10,20
500298,treatment,tier_2,9,2025-08-10,9
500299,control,tier_1,26,2025-08-10,24
500300,control,tier_2,6,2025-08-10,11
500301,control,tier_1,9,2025-08-10,5
500302,treatment,tier_1,10,2025-08-10,17
500303,control,tier_3,11,2025-08-10,8
500304,control,tier_3,4,2025-08-10,19
500305,treatment,tier_1,6,2025-08-10,9
500306,holdout,tier_2,19,2025-08-10,17
500307,holdout,tier_3,5,2025-08-10,5
500308,control,tier_1,8,2025-08-10,4
500309,control,tier_1,6,2025-08-10,13
500310,treatment,tier_1,2,2025-08-10,8
500311,treatment,tier_2,11,2025-08-10,17
500312,treatment,tier_2,4,2025-08-10,15
500313,control,tier_1,9,2025-08-10,18
500314,holdout,tier_3,5,2025-08-10,6
500315,control,tier_3,8,2025-08-10,19
500316,treatment,tier_1,25,2025-08-10,16
500317,control,tier_2,19,2025-08-10,16
500318,treatment,tier_1,5,2025-08-10,10
500319,control,tier_3,8,2025-08-10,15
500320,treatment,tier_1,13,2025-08-10,17
500321,holdout,tier_2,2,2025-08-10,8
500322,holdout,tier_3,7,2025-08-10,14
500323,control,tier_3,12,2025-08-10,17
500324,holdout,tier_2,11,2025-08-10,13
500325,holdout,tier_1,10,2025-08-10,12
500326,treatment,tier_2,20,2025-08-10,24
500327,holdout,tier_2,12,2025-08-10,10
500328,control,tier_3,12,2025-08-10,10
500329,control,tier_2,12,2025-08-10,8
500330,control,tier_2,6,2025-08-10,9
500331,treatment,tier_2,6,2025-08-10,15
500332,holdout,tier_3,13,2025-08-10,21
500333,holdout,tier_1,7,2025-08-10,5
500334,control,tier_3,4,2025-08-10,10
500335,treatment,tier_2,10,2025-08-10,14
500336,control,tier_1,15,2025-08-10,13
500337,control,tier_2,17,2025-08-10,11
500338,treatment,tier_1,9,2025-08-10,18
500339,control,tier_2,6,2025-08-10,16
500340,control,tier_2,6,2025-08-10,10
500341,control,tier_3,10,2025-08-10,11
500342,holdout,tier_2,4,2025-08-10,17
500343,holdout,tier_2,17,2025-08-10,13
500344,control,tier_2,21,2025-08-10,14
500345,control,tier_2,6,2025-08-10,12
500346,treatment,tier_2,1,2025-08-10,16
500347,control,tier_1,7,2025-08-10,11
500348,control,tier_1,8,2025-08-10,10
500349,holdout,tier_1,20,2025-08-10,22
500350,control,tier_3,18,2025-08-10,15
500351,treatment,tier_1,2,2025-08-10,9
500352,treatment,tier_3,4,2025-08-10,3
500353,control,tier_1,12,2025-08-10,12
500354,control,tier_2,3,2025-08-10,16
500355,treatment,tier_1,4,2025-08-10,22
500356,control,tier_3,8,2025-08-10,18
500357,treatment,tier_1,8,2025-08-10,12
500358,treatment,tier_2,6,2025-08-10,10
500359,control,tier_2,15,2025-08-10,27
500360,control,tier_3,6,2025-08-10,17
500361,treatment,tier_2,7,2025-08-10,8
500362,control,tier_1,6,2025-08-10,14
500363,treatment,tier_3,6,2025-08-10,13
500364,control,tier_1,15,2025-08-10,16
500365,control,tier_1,8,2025-08-10,5
500366,control,tier_1,16,2025-08-10,11
500367,treatment,tier_2,6,2025-08-10,19
500368,treatment,tier_1,6,2025-08-10,19
500369,treatment,tier_3,15,2025-08-10,10
500370,control,tier_1,8,2025-08-10,11
500371,holdout,tier_2,11,2025-08-10,0
500372,treatment,tier_2,9,2025-08-10,18
500373,treatment,tier_2,13,2025-08-10,18
500374,control,tier_1,9,2025-08-10,13
500375,treatment,tier_3,10,2025-08-10,8
500376,treatment,tier_3,5,2025-08-10,10
500377,control,tier_1,3,2025-08-10,8
500378,treatment,tier_3,6,2025-08-10,10
500379,treatment,tier_2,18,2025-08-10,23
500380,control,tier_2,8,2025-08-10,13
500381,treatment,tier_1,16,2025-08-10,16
500382,control,tier_1,28,2025-08-10,13
500383,control,tier_3,12,2025-08-10,11
500384,control,tier_3,6,2025-08-10,0
500385,control,tier_3,8,2025-08-10,18
500386,treatment,tier_2,11,2025-08-10,9
500387,treatment,tier_3,3,2025-08-10,14
500388,control,tier_1,10,2025-08-10,19
500389,control,tier_1,10,2025-08-10,10
500390,treatment,tier_2,2,2025-08-10,6
500391,treatment,tier_3,13,2025-08-10,18
500392,control,tier_2,14,2025-08-10,19
500393,control,tier_1,11,2025-08-10,14
500394,control,tier_2,13,2025-08-10,18
500395,control,tier_3,8,2025-08-10,18
500396,treatment,tier_1,7,2025-08-10,10
500397,treatment,tier_2,6,2025-08-10,17
500398,control,tier_2,3,2025-08-10,12
500399,control,tier_2,2,2025-08-10,4
500400,holdout,tier_2,5,2025-08-10,6
500401,treatment,tier_2,3,2025-08-10,14
500402,control,tier_1,6,2025-08-10,15
500403,treatment,tier_1,17,2025-08-10,19
500404,treatment,tier_3,5,2025-08-10,11
500405,holdout,tier_1,4,2025-08-10,5
500406,treatment,tier_3,10,2025-08-10,16
500407,control,tier_3,11,2025-08-10,17
500408,treatment,tier_2,12,2025-08-10,16
500409,control,tier_2,8,2025-08-10,9
500410,holdout,tier_3,1,2025-08-10,4
500411,holdout,tier_2,12,2025-08-10,17
500412,treatment,tier_3,5,2025-08-10,3
500413,control,tier_1,19,2025-08-10,17
500414,treatment,tier_1,1,2025-08-10,12
500415,treatment,tier_1,8,2025-08-10,19
500416,treatment,tier_1,2,2025-08-10,4
500417,control,tier_3,14,2025-08-10,21
500418,control,tier_1,9,2025-08-10,17
500419,treatment,tier_1,9,2025-08-10,13
500420,treatment,tier_3,5,2025-08-10,9
500421,control,tier_1,8,2025-08-10,7
500422,treatment,tier_2,16,2025-08-10,19
500423,treatment,tier_1,6,2025-08-10,7
500424,control,tier_3,13,2025-08-10,11
500425,control,tier_2,14,2025-08-10,11
500426,treatment,tier_2,4,2025-08-10,18
500427,control,tier_1,10,2025-08-10,13
500428,control,tier_2,3,2025-08-10,8
500429,treatment,tier_2,5,2025-08-10,8
500430,treatment,tier_2,5,2025-08-10,18
500431,control,tier_2,23,2025-08-10,17
500432,treatment,tier_1,15,2025-08-10,18
500433,control,tier_3,17,2025-08-10,17
500434,control,tier_1,4,2025-08-10,11
500435,control,tier_1,17,2025-08-10,15
500436,treatment,tier_2,13,2025-08-10,22
500437,treatment,tier_2,15,2025-08-10,22
500438,treatment,tier_2,15,2025-08-10,20
500439,treatment,tier_1,5,2025-08-10,14
500440,holdout,tier_2,11,2025-08-10,13
500441,control,tier_3,16,2025-08-10,19
500442,control,tier_3,21,2025-08-10,18
500443,treatment,tier_3,15,2025-08-10,14
500444,treatment,tier_1,2,2025-08-10,0
500445,control,tier_2,12,2025-08-10,20
500446,control,tier_3,2,2025-08-10,5
500447,treatment,tier_1,18,2025-08-10,23
500448,treatment,tier_3,7,2025-08-10,11
500449,treatment,tier_2,10,2025-08-10,14
500450,treatment,tier_1,12,2025-08-10,13
500451,control,tier_3,24,2025-08-10,14
500452,holdout,tier_1,16,2025-08-10,9
500453,control,tier_2,6,2025-08-10,16
500454,holdout,tier_1,9,2025-08-10,6
500455,treatment,tier_3,10,2025-08-10,17
500456,treatment,tier_1,14,2025-08-10,23
500457,treatment,tier_2,8,2025-08-10,20
500458,treatment,tier_1,15,2025-08-10,21
500459,treatment,tier_3,12,2025-08-10,6
500460,treatment,tier_1,26,2025-08-10,27
500461,treatment,tier_2,7,2025-08-10,14
500462,treatment,tier_2,6,2025-08-10,16
500463,treatment,tier_2,0,2025-08-10,13
500464,control,tier_2,15,2025-08-10,17
500465,control,tier_1,11,2025-08-10,19
500466,control,tier_2,8,2025-08-10,5
500467,control,tier_1,4,2025-08-10,5
500468,control,tier_1,11,2025-08-10,12
500469,treatment,tier_1,4,2025-08-10,3
500470,treatment,tier_3,9,2025-08-10,9
500471,treatment,tier_2,9,2025-08-10,11
500472,treatment,tier_3,9,2025-08-10,16
500473,treatment,tier_2,5,2025-08-10,13
500474,treatment,tier_2,4,2025-08-10,15
500475,control,tier_1,16,2025-08-10,17
500476,control,tier_2,5,2025-08-10,9
500477,treatment,tier_2,9,2025-08-10,18
500478,control,tier_3,12,2025-08-10,8
500479,control,tier_1,15,2025-08-10,11
500480,treatment,tier_2,2,2025-08-10,14
500481,treatment,tier_2,16,2025-08-10,16
500482,treatment,tier_1,7,2025-08-10,17
500483,treatment,tier_3,14,2025-08-10,18
500484,treatment,tier_3,7,2025-08-10,7
500485,treatment,tier_1,19,2025-08-10,18
500486,treatment,tier_1,10,2025-08-10,10
500487,control,tier_1,8,2025-08-10,9
500488,control,tier_1,16,2025-08-10,17
500489,control,tier_2,20,2025-08-10,16
500490,control,tier_2,4,2025-08-10,9
500491,treatment,tier_2,10,2025-08-10,20
500492,control,tier_2,10,2025-08-10,3
500493,treatment,tier_1,4,2025-08-10,13
500494,holdout,tier_3,8,2025-08-10,9
500495,control,tier_1,11,2025-08-10,15
500496,holdout,tier_3,9,2025-08-10,17
500497,control,tier_1,3,2025-08-10,4
500498,control,tier_3,7,2025-08-10,9
500499,control,tier_1,27,2025-08-10,15
500500,control,tier_2,9,2025-08-10,14
500501,control,tier_2,3,2025-08-10,3
500502,treatment,tier_3,15,2025-08-10,18
500503,treatment,tier_3,6,2025-08-10,10
500504,control,tier_3,5,2025-08-10,9
500505,treatment,tier_1,17,2025-08-10,22
500506,control,tier_1,13,2025-08-10,6
500507,holdout,tier_2,3,2025-08-10,4
500508,holdout,tier_1,6,2025-08-10,10
500509,control,tier_1,16,2025-08-10,19
500510,treatment,tier_2,10,2025-08-10,10
500511,control,tier_2,7,2025-08-10,0
500512,control,tier_1,7,2025-08-10,5
500513,control,tier_3,11,2025-08-10,14
500514,treatment,tier_2,15,2025-08-10,15
500515,treatment,tier_2,9,2025-08-10,18
500516,control,tier_2,11,2025-08-10,10
500517,treatment,tier_1,10,2025-08-10,12
500518,treatment,tier_1,9,2025-08-10,22
500519,treatment,tier_1,8,2025-08-10,13
500520,treatment,tier_1,9,2025-08-10,11
500521,control,tier_3,7,2025-08-10,12
500522,control,tier_3,7,2025-08-10,13
500523,control,tier_2,8,2025-08-10,15
500524,control,tier_1,10,2025-08-10,8
500525,control,tier_3,8,2025-08-10,16
500526,treatment,tier_3,6,2025-08-10,21
500527,control,tier_3,10,2025-08-10,12
500528,treatment,tier_2,18,2025-08-10,23
500529,control,tier_3,17,2025-08-10,19
500530,holdout,tier_2,6,2025-08-10,12
500531,control,tier_3,12,2025-08-10,12
500532,control,tier_1,6,2025-08-10,6
500533,holdout,tier_1,16,2025-08-10,11
500534,control,tier_2,5,2025-08-10,8
500535,treatment,tier_1,14,2025-08-10,16
500536,treatment,tier_3,7,2025-08-10,11
500537,treatment,tier_3,21,2025-08-10,12
500538,treatment,tier_2,17,2025-08-10,9
500539,control,tier_2,5,2025-08-10,4
500540,control,tier_1,9,2025-08-10,3
500541,treatment,tier_3,6,2025-08-10,11
500542,treatment,tier_1,5,2025-08-10,9
500543,control,tier_2,18,2025-08-10,14
500544,treatment,tier_2,12,2025-08-10,15
500545,treatment,tier_1,7,2025-08-10,12
500546,control,tier_1,13,2025-08-10,6
500547,control,tier_1,0,2025-08-10,4
500548,treatment,tier_2,9,2025-08-10,12
500549,control,tier_2,5,2025-08-10,13
500550,holdout,tier_3,5,2025-08-10,12
500551,control,tier_2,12,2025-08-10,22
500552,treatment,tier_1,7,2025-08-10,13
500553,treatment,tier_1,21,2025-08-10,23
500554,holdout,tier_1,6,2025-08-10,12
500555,treatment,tier_1,14,2025-08-10,20
500556,control,tier_2,6,2025-08-10,7
500557,treatment,tier_1,7,2025-08-10,18
500558,treatment,tier_3,19,2025-08-10,21
500559,holdout,tier_1,20,2025-08-10,13
500560,control,tier_1,27,2025-08-10,24
500561,treatment,tier_1,18,2025-08-10,21
500562,control,tier_1,14,2025-08-10,9
500563,holdout,tier_1,11,2025-08-10,12
500564,control,tier_2,22,2025-08-10,11
500565,treatment,tier_1,6,2025-08-10,25
500566,treatment,tier_1,7,2025-08-10,17
500567,control,tier_2,13,2025-08-10,15
500568,control,tier_3,12,2025-08-10,8
500569,holdout,tier_3,17,2025-08-10,11
500570,treatment,tier_1,10,2025-08-10,18
500571,treatment,tier_1,10,2025-08-10,13
500572,treatment,tier_3,13,2025-08-10,4
500573,control,tier_3,4,2025-08-10,6
500574,holdout,tier_1,3,2025-08-10,3
500575,treatment,tier_1,11,2025-08-10,10
500576,treatment,tier_2,10,2025-08-10,19
500577,treatment,tier_1,9,2025-08-10,16
500578,treatment,tier_2,7,2025-08-10,11
500579,control,tier_1,9,2025-08-10,8
500580,treatment,tier_1,6,2025-08-10,9
500581,treatment,tier_2,16,2025-08-10,22
500582,treatment,tier_2,16,2025-08-10,18
500583,control,tier_2,16,2025-08-10,17
500584,control,tier_2,7,2025-08-10,13
500585,control,tier_2,3,2025-08-10,13
500586,control,tier_2,11,2025-08-10,10
500587,control,tier_2,5,2025-08-10,12
500588,control,tier_1,11,2025-08-10,19
500589,control,tier_2,3,2025-08-10,8
500590,treatment,tier_3,7,2025-08-10,16
500591,control,tier_2,14,2025-08-10,14
500592,control,tier_1,15,2025-08-10,18
500593,control,tier_1,9,2025-08-10,11
500594,control,tier_1,22,2025-08-10,17
500595,treatment,tier_2,7,2025-08-10,15
500596,treatment,tier_1,10,2025-08-10,15
500597,treatment,tier_2,5,2025-08-10,14
500598,control,tier_1,4,2025-08-10,11
500599,treatment,tier_1,10,2025-08-10,21
500600,treatment,tier_1,7,2025-08-10,18
500601,control,tier_3,12,2025-08-10,10
500602,treatment,tier_2,11,2025-08-10,17
500603,holdout,tier_1,17,2025-08-10,18
500604,treatment,tier_1,20,2025-08-10,20
500605,holdout,tier_2,14,2025-08-10,18
500606,control,tier_3,6,2025-08-10,11
500607,control,tier_1,2,2025-08-10,9
500608,treatment,tier_1,18,2025-08-10,15
500609,control,tier_2,20,2025-08-10,22
500610,treatment,tier_2,5,2025-08-10,11
500611,treatment,tier_1,9,2025-08-10,15
500612,holdout,tier_1,4,2025-08-10,20
500613,control,tier_1,2,2025-08-10,12
500614,control,tier_2,12,2025-08-10,13
500615,treatment,tier_3,18,2025-08-10,22
500616,treatment,tier_2,6,2025-08-10,10
500617,control,tier_2,17,2025-08-10,13
500618,treatment,tier_3,15,2025-08-10,14
500619,control,tier_2,6,2025-08-10,5
500620,treatment,tier_3,11,2025-08-10,13
500621,control,tier_1,12,2025-08-10,6
500622,control,tier_2,5,2025-08-10,2
500623,holdout,tier_2,5,2025-08-10,7
500624,control,tier_1,10,2025-08-10,10
500625,control,tier_3,8,2025-08-10,11
500626,treatment,tier_2,12,2025-08-10,21
500627,treatment,tier_1,9,2025-08-10,21
500628,treatment,tier_1,8,2025-08-10,22
500629,control,tier_3,15,2025-08-10,23
500630,control,tier_1,20,2025-08-10,13
