user_id,variant,country_tier,exposure_date,d1_activated,d7_retained,d30_retained
300047,treatment,tier_2,2025-07-01,0,0,0
300048,treatment,tier_1,2025-07-01,0,0,0
300049,treatment,tier_1,2025-07-01,0,0,0
300050,treatment,tier_1,2025-07-01,0,0,0
300051,treatment,tier_3,2025-07-01,0,0,0
300052,control,tier_1,2025-07-01,0,0,0
300053,control,tier_2,2025-07-01,1,1,0
300054,treatment,tier_1,2025-07-01,1,1,0
300055,treatment,tier_2,2025-07-01,1,0,0
300056,treatment,tier_3,2025-07-01,0,0,0
300057,treatment,tier_1,2025-07-01,1,1,0
300058,treatment,tier_2,2025-07-01,1,0,0
300059,control,tier_1,2025-07-01,0,0,0
300060,treatment,tier_2,2025-07-01,0,0,0
300061,control,tier_1,2025-07-01,1,0,0
300062,control,tier_2,2025-07-01,1,1,0
300063,control,tier_2,2025-07-01,1,0,0
300064,control,tier_2,2025-07-01,0,0,0
300065,control,tier_1,2025-07-01,0,0,0
300066,treatment,tier_2,2025-07-01,1,0,0
300067,control,tier_3,2025-07-01,0,0,0
300068,treatment,tier_1,2025-07-01,1,0,0
300069,control,tier_1,2025-07-01,0,0,0
300070,treatment,tier_1,2025-07-01,1,0,0
300071,treatment,tier_1,2025-07-01,1,1,0
300072,treatment,tier_3,2025-07-01,0,0,0
300073,control,tier_2,2025-07-01,1,0,0
300074,control,tier_2,2025-07-01,1,0,0
300075,control,tier_1,2025-07-01,1,1,0
300076,control,tier_3,2025-07-01,0,0,0
300077,treatment,tier_2,2025-07-01,1,1,0
300078,control,tier_1,2025-07-01,0,0,0
300079,control,tier_3,2025-07-01,0,0,0
300080,control,tier_1,2025-07-01,0,0,0
300081,treatment,tier_1,2025-07-01,1,0,0
300082,control,tier_2,2025-07-01,1,0,0
300083,control,tier_1,2025-07-01,0,0,0
300084,control,tier_3,2025-07-01,1,0,0
300085,control,tier_1,2025-07-01,1,1,0
300086,control,tier_3,2025-07-01,1,0,0
300087,control,tier_1,2025-07-01,0,0,0
300088,treatment,tier_1,2025-07-01,0,0,0
300089,control,tier_1,2025-07-01,0,0,0
300090,treatment,tier_2,2025-07-01,1,1,0
300091,treatment,tier_1,2025-07-01,0,0,0
300092,treatment,tier_1,2025-07-01,1,1,0
300093,treatment,tier_1,2025-07-01,1,0,0
300094,control,tier_3,2025-07-01,1,0,0
300095,control,tier_3,2025-07-01,0,0,0
300096,treatment,tier_3,2025-07-01,1,1,0
300097,control,tier_3,2025-07-01,0,0,0
300098,treatment,tier_1,2025-07-01,1,0,0
300099,control,tier_2,2025-07-01,0,0,0
300100,treatment,tier_2,2025-07-01,0,0,0
300101,control,tier_1,2025-07-01,1,1,0
300102,control,tier_1,2025-07-01,0,0,0
300103,treatment,tier_1,2025-07-01,0,0,0
300104,treatment,tier_2,2025-07-01,1,1,0
300105,control,tier_2,2025-07-01,0,0,0
300106,treatment,tier_1,2025-07-01,0,0,0
300107,control,tier_1,2025-07-01,0,0,0
300108,control,tier_1,2025-07-01,1,1,0
300109,treatment,tier_1,2025-07-01,0,0,0
300110,control,tier_3,2025-07-01,0,0,0
300111,control,tier_3,2025-07-01,0,0,0
300112,control,tier_1,2025-07-01,0,0,0
300113,control,tier_1,2025-07-01,0,0,0
300114,treatment,tier_2,2025-07-01,1,0,0
300115,control,tier_1,2025-07-01,1,1,0
300116,control,tier_2,2025-07-01,1,1,0
300117,treatment,tier_3,2025-07-01,1,1,1
300118,control,tier_2,2025-07-01,0,0,0
300119,treatment,tier_1,2025-07-01,0,0,0
300120,treatment,tier_1,2025-07-01,1,0,0
300121,treatment,tier_1,2025-07-01,0,0,0
300122,control,tier_3,2025-07-01,1,0,0
300123,treatment,tier_2,2025-07-01,0,0,0
300124,control,tier_1,2025-07-01,1,1,1
300125,treatment,tier_2,2025-07-01,1,0,0
300126,control,tier_1,2025-07-01,0,0,0
300127,treatment,tier_1,2025-07-01,0,0,0
300128,treatment,tier_3,2025-07-01,0,0,0
300129,control,tier_1,2025-07-01,0,0,0
300130,treatment,tier_3,2025-07-01,0,0,0
300131,treatment,tier_2,2025-07-01,1,1,1
300132,control,tier_2,2025-07-01,1,1,0
300133,treatment,tier_2,2025-07-01,0,0,0
300134,control,tier_1,2025-07-01,0,0,0
300135,treatment,tier_1,2025-07-01,0,0,0
300136,control,tier_1,2025-07-01,1,0,0
300137,treatment,tier_2,2025-07-01,1,0,0
300138,treatment,tier_1,2025-07-01,1,0,0
300139,treatment,tier_2,2025-07-01,1,1,0
300140,control,tier_2,2025-07-01,0,0,0
300141,treatment,tier_1,2025-07-01,0,0,0
300142,treatment,tier_2,2025-07-01,0,0,0
300143,control,tier_2,2025-07-01,0,0,0
300144,control,tier_1,2025-07-01,0,0,0
300145,treatment,tier_1,2025-07-01,0,0,0
300146,treatment,tier_1,2025-07-01,0,0,0
300147,treatment,tier_2,2025-07-01,0,0,0
300148,control,tier_2,2025-07-01,0,0,0
300149,treatment,tier_3,2025-07-01,0,0,0
300150,control,tier_2,2025-07-01,0,0,0
300151,treatment,tier_2,2025-07-01,0,0,0
300152,treatment,tier_2,2025-07-01,1,1,0
300153,treatment,tier_3,2025-07-01,1,1,1
300154,control,tier_1,2025-07-01,0,0,0
300155,control,tier_1,2025-07-01,1,0,0
300156,control,tier_3,2025-07-01,1,1,0
300157,control,tier_1,2025-07-01,1,1,0
300158,treatment,tier_2,2025-07-01,1,0,0
300159,control,tier_1,2025-07-01,1,0,0
300160,treatment,tier_3,2025-07-01,1,1,1
300161,treatment,tier_2,2025-07-01,0,0,0
300162,control,tier_3,2025-07-01,1,1,1
300163,treatment,tier_1,2025-07-01,1,1,1
300164,treatment,tier_1,2025-07-01,0,0,0
300165,control,tier_1,2025-07-01,0,0,0
300166,treatment,tier_2,2025-07-01,0,0,0
300167,control,tier_1,2025-07-01,0,0,0
300168,control,tier_3,2025-07-01,0,0,0
300169,treatment,tier_1,2025-07-01,0,0,0
300170,control,tier_1,2025-07-01,0,0,0
300171,treatment,tier_3,2025-07-01,1,0,0
300172,control,tier_1,2025-07-01,1,0,0
300173,control,tier_1,2025-07-01,0,0,0
300174,treatment,tier_1,2025-07-01,0,0,0
300175,control,tier_2,2025-07-01,0,0,0
300176,control,tier_2,2025-07-01,0,0,0
300177,control,tier_3,2025-07-01,0,0,0
300178,treatment,tier_3,2025-07-01,1,1,1
300179,treatment,tier_2,2025-07-01,0,0,0
300180,treatment,tier_3,2025-07-01,0,0,0
300181,treatment,tier_1,2025-07-01,1,1,1
300182,treatment,tier_3,2025-07-01,0,0,0
300183,control,tier_1,2025-07-01,0,0,0
300184,treatment,tier_3,2025-07-01,1,1,1
300185,treatment,tier_1,2025-07-01,1,1,0
300186,control,tier_3,2025-07-01,1,0,0
300187,control,tier_2,2025-07-01,0,0,0
300188,treatment,tier_1,2025-07-01,0,0,0
300189,treatment,tier_3,2025-07-01,0,0,0
300190,treatment,tier_1,2025-07-01,1,1,0
300191,treatment,tier_1,2025-07-01,1,0,0
300192,control,tier_3,2025-07-01,0,0,0
300193,control,tier_3,2025-07-01,0,0,0
300194,treatment,tier_2,2025-07-01,1,1,0
300195,treatment,tier_1,2025-07-01,0,0,0
300196,treatment,tier_1,2025-07-01,1,1,1
300197,control,tier_3,2025-07-01,0,0,0
300198,treatment,tier_2,2025-07-01,0,0,0
300199,control,tier_2,2025-07-01,0,0,0
300200,treatment,tier_1,2025-07-01,0,0,0
300201,control,tier_3,2025-07-01,0,0,0
300202,treatment,tier_2,2025-07-01,0,0,0
300203,treatment,tier_2,2025-07-01,0,0,0
300204,treatment,tier_2,2025-07-01,1,1,0
300205,treatment,tier_3,2025-07-01,0,0,0
300206,treatment,tier_2,2025-07-01,0,0,0
300207,treatment,tier_2,2025-07-01,0,0,0
300208,treatment,tier_2,2025-07-01,1,0,0
300209,control,tier_1,2025-07-01,0,0,0
300210,treatment,tier_1,2025-07-01,0,0,0
300211,treatment,tier_3,2025-07-01,0,0,0
300212,treatment,tier_2,2025-07-01,1,0,0
300213,control,tier_2,2025-07-01,1,0,0
300214,treatment,tier_2,2025-07-01,0,0,0
300215,treatment,tier_2,2025-07-01,1,0,0
300216,treatment,tier_2,2025-07-01,0,0,0
300217,control,tier_1,2025-07-01,1,1,0
300218,control,tier_2,2025-07-01,0,0,0
300219,control,tier_1,2025-07-01,0,0,0
300220,control,tier_3,2025-07-01,1,0,0
300221,control,tier_1,2025-07-01,0,0,0
300222,control,tier_1,2025-07-01,0,0,0
300223,control,tier_2,2025-07-01,1,1,1
300224,control,tier_1,2025-07-01,0,0,0
300225,treatment,tier_3,2025-07-01,1,0,0
300226,control,tier_3,2025-07-01,0,0,0
300227,treatment,tier_2,2025-07-01,0,0,0
300228,treatment,tier_1,2025-07-01,1,1,0
300229,control,tier_1,2025-07-01,1,1,1
300230,control,tier_2,2025-07-01,0,0,0
300231,treatment,tier_2,2025-07-01,0,0,0
300232,control,tier_2,2025-07-01,0,0,0
300233,control,tier_2,2025-07-01,1,0,0
300234,control,tier_3,2025-07-01,0,0,0
300235,treatment,tier_2,2025-07-01,1,0,0
300236,control,tier_2,2025-07-01,0,0,0
300237,treatment,tier_3,2025-07-01,1,0,0
300238,treatment,tier_2,2025-07-01,1,0,0
300239,control,tier_3,2025-07-01,0,0,0
300240,treatment,tier_1,2025-07-01,1,0,0
300241,control,tier_2,2025-07-01,1,1,1
300242,treatment,tier_1,2025-07-01,0,0,0
300243,control,tier_2,2025-07-01,1,1,0
300244,control,tier_1,2025-07-01,1,0,0
300245,control,tier_1,2025-07-01,0,0,0
300246,treatment,tier_3,2025-07-01,1,1,0
300247,treatment,tier_3,2025-07-01,1,1,1
300248,treatment,tier_2,2025-07-01,1,0,0
300249,treatment,tier_3,2025-07-01,1,1,1
300250,treatment,tier_3,2025-07-01,0,0,0
300251,control,tier_1,2025-07-01,1,1,1
300252,treatment,tier_2,2025-07-01,0,0,0
300253,treatment,tier_1,2025-07-01,1,0,0
300254,treatment,tier_2,2025-07-01,0,0,0
300255,control,tier_1,2025-07-01,1,1,0
300256,control,tier_2,2025-07-01,0,0,0
300257,control,tier_2,2025-07-01,1,0,0
300258,control,tier_3,2025-07-01,0,0,0
300259,control,tier_1,2025-07-01,1,1,0
300260,control,tier_1,2025-07-01,0,0,0
300261,control,tier_3,2025-07-01,1,1,1
300262,treatment,tier_3,2025-07-01,1,1,1
300263,control,tier_2,2025-07-01,1,1,1
300264,treatment,tier_3,2025-07-01,0,0,0
300265,control,tier_2,2025-07-01,1,0,0
300266,control,tier_1,2025-07-01,0,0,0
300267,treatment,tier_3,2025-07-01,1,0,0
300268,treatment,tier_3,2025-07-01,0,0,0
300269,treatment,tier_1,2025-07-01,0,0,0
300270,control,tier_3,2025-07-01,0,0,0
300271,control,tier_2,2025-07-01,0,0,0
300272,treatment,tier_3,2025-07-01,0,0,0
300273,control,tier_1,2025-07-01,0,0,0
300274,treatment,tier_3,2025-07-01,0,0,0
300275,treatment,tier_1,2025-07-01,1,1,0
300276,control,tier_1,2025-07-01,0,0,0
300277,treatment,tier_1,2025-07-01,1,0,0
300278,control,tier_1,2025-07-01,0,0,0
300279,treatment,tier_1,2025-07-01,0,0,0
300280,control,tier_1,2025-07-01,1,0,0
300281,treatment,tier_2,2025-07-01,1,1,0
300282,treatment,tier_1,2025-07-01,1,0,0
300283,control,tier_3,2025-07-01,1,0,0
300284,control,tier_3,2025-07-01,0,0,0
300285,control,tier_1,2025-07-01,1,0,0
300286,treatment,tier_1,2025-07-01,1,1,1
300287,control,tier_3,2025-07-01,0,0,0
300288,treatment,tier_2,2025-07-01,0,0,0
300289,treatment,tier_3,2025-07-01,1,1,0
300290,control,tier_2,2025-07-01,1,0,0
300291,control,tier_2,2025-07-01,0,0,0
300292,control,tier_1,2025-07-01,1,1,0
300293,treatment,tier_2,2025-07-01,1,1,0
300294,control,tier_1,2025-07-01,1,1,1
300295,treatment,tier_3,2025-07-01,0,0,0
300296,treatment,tier_1,2025-07-01,0,0,0
300297,control,tier_3,2025-07-01,0,0,0
300298,treatment,tier_3,2025-07-01,1,0,0
300299,treatment,tier_3,2025-07-01,1,1,0
300300,treatment,tier_1,2025-07-01,0,0,0
300301,control,tier_1,2025-07-01,0,0,0
300302,control,tier_1,2025-07-01,1,0,0
300303,control,tier_1,2025-07-01,0,0,0
300304,treatment,tier_2,2025-07-01,0,0,0
300305,treatment,tier_3,2025-07-01,1,0,0
300306,control,tier_1,2025-07-01,1,0,0
300307,treatment,tier_2,2025-07-01,1,1,1
300308,treatment,tier_3,2025-07-01,1,1,1
300309,treatment,tier_3,2025-07-01,0,0,0
300310,control,tier_3,2025-07-01,0,0,0
300311,control,tier_1,2025-07-01,1,0,0
300312,treatment,tier_3,2025-07-01,0,0,0
300313,control,tier_3,2025-07-01,0,0,0
300314,treatment,tier_2,2025-07-01,1,0,0
300315,treatment,tier_2,2025-07-01,1,1,0
300316,treatment,tier_3,2025-07-01,1,1,0
300317,control,tier_3,2025-07-01,1,0,0
300318,treatment,tier_2,2025-07-01,1,1,0
300319,control,tier_2,2025-07-01,1,0,0
300320,treatment,tier_2,2025-07-01,0,0,0
300321,treatment,tier_1,2025-07-01,0,0,0
300322,treatment,tier_3,2025-07-01,0,0,0
300323,treatment,tier_3,2025-07-01,0,0,0
300324,treatment,tier_2,2025-07-01,1,1,0
300325,control,tier_3,2025-07-01,0,0,0
300326,control,tier_1,2025-07-01,0,0,0
300327,control,tier_3,2025-07-01,1,0,0
300328,treatment,tier_1,2025-07-01,0,0,0
300329,treatment,tier_2,2025-07-01,1,0,0
300330,control,tier_1,2025-07-01,0,0,0
300331,treatment,tier_3,2025-07-01,0,0,0
300332,treatment,tier_1,2025-07-01,0,0,0
300333,treatment,tier_1,2025-07-01,1,0,0
300334,treatment,tier_2,2025-07-01,1,0,0
300335,control,tier_3,2025-07-01,0,0,0
300336,control,tier_3,2025-07-01,1,1,0
300337,treatment,tier_3,2025-07-01,1,1,0
300338,treatment,tier_3,2025-07-01,0,0,0
300339,control,tier_1,2025-07-01,0,0,0
300340,control,tier_2,2025-07-01,0,0,0
300341,treatment,tier_1,2025-07-01,1,0,0
300342,control,tier_2,2025-07-01,1,0,0
300343,control,tier_2,2025-07-01,0,0,0
300344,control,tier_1,2025-07-01,0,0,0
300345,control,tier_3,2025-07-01,1,1,1
300346,treatment,tier_1,2025-07-01,1,0,0
300347,treatment,tier_2,2025-07-01,0,0,0
300348,treatment,tier_2,2025-07-01,0,0,0
300349,treatment,tier_2,2025-07-01,1,0,0
300350,treatment,tier_3,2025-07-01,1,1,1
300351,control,tier_1,2025-07-01,0,0,0
300352,treatment,tier_2,2025-07-01,1,0,0
300353,control,tier_2,2025-07-01,1,0,0
300354,control,tier_1,2025-07-01,0,0,0
300355,treatment,tier_2,2025-07-01,0,0,0
300356,treatment,tier_2,2025-07-01,1,0,0
300357,treatment,tier_1,2025-07-01,0,0,0
300358,treatment,tier_2,2025-07-01,0,0,0
300359,treatment,tier_3,2025-07-01,0,0,0
300360,treatment,tier_2,2025-07-01,0,0,0
300361,treatment,tier_3,2025-07-01,1,1,0
300362,control,tier_3,2025-07-01,1,0,0
300363,treatment,tier_2,2025-07-01,0,0,0
300364,control,tier_2,2025-07-01,0,0,0
300365,treatment,tier_1,2025-07-01,1,1,1
300366,treatment,tier_2,2025-07-01,0,0,0
300367,control,tier_1,2025-07-01,0,0,0
300368,control,tier_3,2025-07-01,1,1,1
300369,treatment,tier_2,2025-07-01,1,0,0
300370,control,tier_2,2025-07-01,1,0,0
300371,treatment,tier_1,2025-07-01,1,1,1
300372,control,tier_3,2025-07-01,0,0,0
300373,treatment,tier_3,2025-07-01,0,0,0
300374,treatment,tier_3,2025-07-01,0,0,0
300375,treatment,tier_3,2025-07-01,0,0,0
300376,treatment,tier_2,2025-07-01,0,0,0
300377,control,tier_1,2025-07-01,1,1,0
300378,treatment,tier_3,2025-07-01,1,1,0
300379,treatment,tier_2,2025-07-01,0,0,0
300380,treatment,tier_3,2025-07-01,0,0,0
300381,control,tier_1,2025-07-01,0,0,0
300382,treatment,tier_2,2025-07-01,1,1,0
300383,treatment,tier_3,2025-07-01,0,0,0
300384,control,tier_1,2025-07-01,0,0,0
300385,treatment,tier_2,2025-07-01,0,0,0
300386,treatment,tier_2,2025-07-01,1,1,1
300387,treatment,tier_3,2025-07-01,0,0,0
300388,treatment,tier_3,2025-07-01,1,0,0
300389,treatment,tier_1,2025-07-01,0,0,0
300390,control,tier_1,2025-07-01,0,0,0
300391,control,tier_3,2025-07-01,0,0,0
300392,control,tier_1,2025-07-01,0,0,0
300393,control,tier_2,2025-07-01,0,0,0
300394,treatment,tier_2,2025-07-01,1,1,0
300395,treatment,tier_2,2025-07-01,1,1,1
300396,treatment,tier_1,2025-07-01,1,1,1
300397,control,tier_3,2025-07-01,0,0,0
300398,treatment,tier_2,2025-07-01,0,0,0
300399,treatment,tier_3,2025-07-01,0,0,0
300400,treatment,tier_1,2025-07-01,0,0,0
300401,control,tier_1,2025-07-01,0,0,0
300402,treatment,tier_2,2025-07-01,0,0,0
300403,treatment,tier_2,2025-07-01,0,0,0
300404,control,tier_2,2025-07-01,1,1,0
300405,treatment,tier_2,2025-07-01,1,1,1
300406,treatment,tier_1,2025-07-01,0,0,0
300407,control,tier_3,2025-07-01,0,0,0
300408,treatment,tier_1,2025-07-01,0,0,0
300409,control,tier_2,2025-07-01,1,1,1
300410,control,tier_1,2025-07-01,0,0,0
300411,control,tier_1,2025-07-01,0,0,0
300412,treatment,tier_1,2025-07-01,1,0,0
300413,control,tier_3,2025-07-01,0,0,0
300414,treatment,tier_3,2025-07-01,1,1,1
300415,control,tier_2,2025-07-01,1,0,0
300416,control,tier_2,2025-07-01,1,1,0
300417,control,tier_2,2025-07-01,1,1,1
300418,control,tier_3,2025-07-01,0,0,0
300419,treatment,tier_1,2025-07-01,1,1,1
300420,treatment,tier_2,2025-07-01,0,0,0
300421,treatment,tier_1,2025-07-01,1,1,0
300422,control,tier_2,2025-07-01,0,0,0
300423,treatment,tier_1,2025-07-01,0,0,0
300424,treatment,tier_3,2025-07-01,0,0,0
300425,treatment,tier_2,2025-07-01,1,1,0
300426,control,tier_3,2025-07-01,1,0,0
300427,control,tier_3,2025-07-01,1,1,0
300428,control,tier_2,2025-07-01,1,1,0
300429,treatment,tier_3,2025-07-01,1,1,1
300430,treatment,tier_2,2025-07-01,0,0,0
300431,treatment,tier_1,2025-07-01,0,0,0
300432,treatment,tier_3,2025-07-01,1,0,0
300433,control,tier_1,2025-07-01,0,0,0
300434,treatment,tier_3,2025-07-01,1,0,0
300435,control,tier_2,2025-07-01,0,0,0
300436,treatment,tier_3,2025-07-01,1,0,0
300437,treatment,tier_3,2025-07-01,1,1,0
300438,control,tier_3,2025-07-01,0,0,0
300439,control,tier_2,2025-07-01,1,1,0
300440,treatment,tier_2,2025-07-01,1,0,0
300441,treatment,tier_2,2025-07-01,1,1,1
300442,treatment,tier_2,2025-07-01,0,0,0
300443,treatment,tier_2,2025-07-01,0,0,0
300444,treatment,tier_1,2025-07-01,0,0,0
300445,control,tier_1,2025-07-01,0,0,0
300446,control,tier_1,2025-07-01,1,1,0
300447,control,tier_2,2025-07-01,0,0,0
300448,control,tier_1,2025-07-01,0,0,0
300449,control,tier_2,2025-07-01,1,0,0
300450,treatment,tier_2,2025-07-01,0,0,0
300451,treatment,tier_1,2025-07-01,1,1,0
300452,control,tier_3,2025-07-01,0,0,0
300453,treatment,tier_1,2025-07-01,1,1,1
300454,treatment,tier_2,2025-07-01,0,0,0
300455,treatment,tier_2,2025-07-01,0,0,0
300456,control,tier_2,2025-07-01,0,0,0
300457,control,tier_1,2025-07-01,1,1,1
300458,control,tier_1,2025-07-01,1,1,1
300459,treatment,tier_1,2025-07-01,1,1,0
300460,treatment,tier_3,2025-07-01,1,0,0
300461,control,tier_1,2025-07-01,1,0,0
300462,treatment,tier_3,2025-07-01,0,0,0
300463,treatment,tier_2,2025-07-01,0,0,0
300464,control,tier_2,2025-07-01,1,0,0
300465,control,tier_3,2025-07-01,1,1,0
300466,control,tier_2,2025-07-01,0,0,0
300467,treatment,tier_2,2025-07-01,0,0,0
300468,treatment,tier_1,2025-07-01,0,0,0
300469,treatment,tier_3,2025-07-01,0,0,0
300470,control,tier_1,2025-07-01,0,0,0
300471,control,tier_1,2025-07-01,1,1,0
300472,control,tier_1,2025-07-01,1,0,0
300473,control,tier_1,2025-07-01,0,0,0
300474,treatment,tier_3,2025-07-01,1,0,0
300475,control,tier_3,2025-07-01,1,1,0
300476,treatment,tier_1,2025-07-01,0,0,0
300477,control,tier_1,2025-07-01,1,0,0
300478,control,tier_2,2025-07-01,0,0,0
300479,treatment,tier_3,2025-07-01,0,0,0
300480,treatment,tier_1,2025-07-01,1,1,1
300481,treatment,tier_1,2025-07-01,0,0,0
300482,treatment,tier_1,2025-07-01,1,1,0
300483,control,tier_2,2025-07-01,0,0,0
300484,treatment,tier_1,2025-07-01,0,0,0
300485,control,tier_3,2025-07-01,0,0,0
300486,control,tier_2,2025-07-01,1,1,1
300487,control,tier_1,2025-07-01,1,1,1
300488,control,tier_3,2025-07-01,0,0,0
300489,control,tier_2,2025-07-01,0,0,0
300490,treatment,tier_2,2025-07-01,0,0,0
300491,control,tier_2,2025-07-01,0,0,0
300492,treatment,tier_1,2025-07-01,0,0,0
300493,treatment,tier_1,2025-07-01,1,1,0
300494,treatment,tier_1,2025-07-01,0,0,0
300495,treatment,tier_2,2025-07-01,0,0,0
300496,control,tier_2,2025-07-01,1,0,0
300497,treatment,tier_2,2025-07-01,0,0,0
300498,control,tier_3,2025-07-01,0,0,0
300499,treatment,tier_3,2025-07-01,1,0,0
300500,control,tier_1,2025-07-01,1,0,0
300501,treatment,tier_2,2025-07-01,1,0,0
300502,control,tier_1,2025-07-01,0,0,0
300503,control,tier_3,2025-07-01,1,1,1
300504,control,tier_3,2025-07-01,0,0,0
300505,treatment,tier_1,2025-07-01,1,1,0
300506,treatment,tier_1,2025-07-01,1,0,0
300507,treatment,tier_3,2025-07-01,0,0,0
300508,treatment,tier_2,2025-07-01,0,0,0
300509,control,tier_1,2025-07-01,0,0,0
300510,treatment,tier_2,2025-07-01,1,1,1
300511,control,tier_3,2025-07-01,0,0,0
300512,treatment,tier_2,2025-07-01,0,0,0
300513,treatment,tier_1,2025-07-01,0,0,0
300514,control,tier_1,2025-07-01,0,0,0
300515,control,tier_1,2025-07-01,0,0,0
300516,treatment,tier_1,2025-07-01,1,0,0
300517,control,tier_2,2025-07-01,0,0,0
300518,treatment,tier_1,2025-07-01,0,0,0
300519,treatment,tier_2,2025-07-01,1,1,1
300520,control,tier_1,2025-07-01,1,0,0
300521,treatment,tier_1,2025-07-01,0,0,0
300522,control,tier_2,2025-07-01,0,0,0
300523,treatment,tier_3,2025-07-01,1,0,0
300524,treatment,tier_3,2025-07-01,0,0,0
300525,treatment,tier_3,2025-07-01,1,1,0
300526,treatment,tier_1,2025-07-01,1,0,0
300527,control,tier_3,2025-07-01,0,0,0
300528,control,tier_1,2025-07-01,0,0,0
300529,control,tier_2,2025-07-01,1,1,1
300530,control,tier_1,2025-07-01,0,0,0
300531,treatment,tier_2,2025-07-01,1,0,0
300532,treatment,tier_1,2025-07-01,1,0,0
300533,treatment,tier_2,2025-07-01,0,0,0
300534,treatment,tier_2,2025-07-01,1,1,0
300535,treatment,tier_3,2025-07-01,0,0,0
300536,control,tier_1,2025-07-01,1,1,1
300537,control,tier_2,2025-07-01,1,0,0
300538,treatment,tier_2,2025-07-01,1,0,0
300539,control,tier_3,2025-07-01,1,1,0
300540,treatment,tier_1,2025-07-01,0,0,0
300541,control,tier_1,2025-07-01,1,0,0
300542,control,tier_2,2025-07-01,0,0,0
300543,treatment,tier_1,2025-07-01,1,1,0
300544,treatment,tier_3,2025-07-01,1,0,0
300545,treatment,tier_1,2025-07-01,1,1,0
300546,control,tier_2,2025-07-01,0,0,0
300547,treatment,tier_1,2025-07-01,0,0,0
300548,treatment,tier_2,2025-07-01,1,0,0
300549,control,tier_3,2025-07-01,1,0,0
300550,control,tier_2,2025-07-01,0,0,0
300551,control,tier_1,2025-07-01,1,1,0
300552,control,tier_1,2025-07-01,0,0,0
300553,treatment,tier_1,2025-07-01,0,0,0
300554,control,tier_1,2025-07-01,1,1,1
300555,treatment,tier_2,2025-07-01,0,0,0
300556,treatment,tier_1,2025-07-01,0,0,0
300557,treatment,tier_1,2025-07-01,0,0,0
300558,control,tier_1,2025-07-01,1,1,0
300559,control,tier_3,2025-07-01,0,0,0
300560,treatment,tier_3,2025-07-01,0,0,0
300561,treatment,tier_1,2025-07-01,0,0,0
300562,control,tier_2,2025-07-01,1,0,0
300563,control,tier_1,2025-07-01,1,1,0
300564,control,tier_3,2025-07-01,0,0,0
300565,control,tier_2,2025-07-01,0,0,0
300566,control,tier_3,2025-07-01,1,0,0
300567,control,tier_1,2025-07-01,0,0,0
300568,control,tier_2,2025-07-01,0,0,0
300569,control,tier_2,2025-07-01,1,0,0
300570,treatment,tier_2,2025-07-01,0,0,0
300571,treatment,tier_3,2025-07-01,0,0,0
300572,control,tier_2,2025-07-01,0,0,0
300573,control,tier_3,2025-07-01,1,1,1
300574,control,tier_2,2025-07-01,1,0,0
300575,treatment,tier_2,2025-07-01,1,1,1
300576,control,tier_2,2025-07-01,0,0,0
300577,treatment,tier_1,2025-07-01,1,0,0
300578,treatment,tier_1,2025-07-01,0,0,0
300579,control,tier_1,2025-07-01,0,0,0
