user_id,variant,user_tenure,country_tier,exposure_date,converted_to_paid
100150,treatment,tenured,tier_3,2025-07-15,0
100151,treatment,returning,tier_2,2025-07-15,0
100152,control,tenured,tier_2,2025-07-15,1
100153,control,returning,tier_3,2025-07-15,0
100154,treatment,tenured,tier_2,2025-07-15,0
100155,control,tenured,tier_2,2025-07-15,0
100156,control,tenured,tier_3,2025-07-15,0
100157,control,tenured,tier_1,2025-07-15,0
100158,control,new,tier_1,2025-07-15,0
100159,treatment,tenured,tier_1,2025-07-15,1
100160,control,tenured,tier_1,2025-07-15,1
100161,treatment,returning,tier_1,2025-07-15,0
100162,control,new,tier_1,2025-07-15,0
100163,control,tenured,tier_1,2025-07-15,1
100164,treatment,returning,tier_3,2025-07-15,0
100165,treatment,returning,tier_2,2025-07-15,0
100166,treatment,tenured,tier_2,2025-07-15,0
100167,treatment,new,tier_3,2025-07-15,0
100168,control,returning,tier_3,2025-07-15,0
100169,treatment,tenured,tier_3,2025-07-15,0
100170,treatment,returning,tier_2,2025-07-15,0
100171,treatment,tenured,tier_3,2025-07-15,1
100172,treatment,tenured,tier_2,2025-07-15,0
100173,control,tenured,tier_1,2025-07-15,0
100174,control,new,tier_3,2025-07-15,0
100175,control,returning,tier_1,2025-07-15,0
100176,control,returning,tier_1,2025-07-15,0
100177,control,tenured,tier_1,2025-07-15,0
100178,control,tenured,tier_1,2025-07-15,0
100179,treatment,returning,tier_1,2025-07-15,1
100180,treatment,tenured,tier_2,2025-07-15,0
100181,control,tenured,tier_2,2025-07-15,1
100182,treatment,returning,tier_2,2025-07-15,0
100183,control,returning,tier_1,2025-07-15,0
100184,control,tenured,tier_3,2025-07-15,0
100185,control,returning,tier_3,2025-07-15,1
100186,treatment,returning,tier_3,2025-07-15,0
100187,treatment,tenured,tier_1,2025-07-15,0
100188,treatment,tenured,tier_1,2025-07-15,0
100189,treatment,returning,tier_1,2025-07-15,0
100190,treatment,returning,tier_3,2025-07-15,1
100191,treatment,tenured,tier_1,2025-07-15,1
100192,control,returning,tier_3,2025-07-15,0
100193,treatment,new,tier_2,2025-07-15,0
100194,treatment,new,tier_1,2025-07-15,1
100195,treatment,tenured,tier_2,2025-07-15,0
100196,treatment,new,tier_1,2025-07-15,0
100197,treatment,tenured,tier_1,2025-07-15,0
100198,control,returning,tier_1,2025-07-15,0
100199,control,tenured,tier_3,2025-07-15,1
100200,treatment,returning,tier_3,2025-07-15,0
100201,control,returning,tier_2,2025-07-15,0
100202,control,new,tier_3,2025-07-15,0
100203,treatment,tenured,tier_3,2025-07-15,0
100204,control,tenured,tier_2,2025-07-15,1
100205,treatment,returning,tier_1,2025-07-15,0
100206,control,returning,tier_3,2025-07-15,0
100207,treatment,returning,tier_1,2025-07-15,1
100208,treatment,new,tier_1,2025-07-15,0
100209,control,tenured,tier_2,2025-07-15,0
100210,treatment,tenured,tier_2,2025-07-15,1
100211,control,returning,tier_1,2025-07-15,0
100212,control,tenured,tier_3,2025-07-15,0
100213,treatment,returning,tier_3,2025-07-15,0
100214,treatment,tenured,tier_2,2025-07-15,0
100215,treatment,new,tier_3,2025-07-15,0
100216,control,tenured,tier_1,2025-07-15,0
100217,control,returning,tier_3,2025-07-15,0
100218,control,returning,tier_2,2025-07-15,0
100219,control,returning,tier_2,2025-07-15,0
100220,treatment,new,tier_2,2025-07-15,0
100221,control,returning,tier_2,2025-07-15,1
100222,treatment,new,tier_2,2025-07-15,0
100223,treatment,new,tier_1,2025-07-15,0
100224,treatment,returning,tier_2,2025-07-15,0
100225,treatment,returning,tier_2,2025-07-15,0
100226,control,tenured,tier_3,2025-07-15,1
100227,control,new,tier_3,2025-07-15,0
100228,control,new,tier_3,2025-07-15,0
100229,control,returning,tier_1,2025-07-15,0
100230,treatment,tenured,tier_1,2025-07-15,0
100231,control,returning,tier_2,2025-07-15,0
100232,treatment,new,tier_1,2025-07-15,0
100233,treatment,returning,tier_3,2025-07-15,0
100234,control,returning,tier_1,2025-07-15,0
100235,control,returning,tier_1,2025-07-15,0
100236,treatment,returning,tier_1,2025-07-15,0
100237,control,tenured,tier_1,2025-07-15,0
100238,control,tenured,tier_2,2025-07-15,0
100239,control,returning,tier_2,2025-07-15,0
100240,control,returning,tier_3,2025-07-15,0
100241,control,tenured,tier_1,2025-07-15,0
100242,treatment,tenured,tier_2,2025-07-15,0
100243,treatment,tenured,tier_3,2025-07-15,0
100244,treatment,new,tier_1,2025-07-15,0
100245,control,tenured,tier_3,2025-07-15,0
100246,control,returning,tier_3,2025-07-15,0
100247,control,tenured,tier_1,2025-07-15,0
100248,treatment,returning,tier_1,2025-07-15,0
100249,control,tenured,tier_1,2025-07-15,0
100250,treatment,tenured,tier_2,2025-07-15,0
100251,control,returning,tier_3,2025-07-15,0
100252,treatment,returning,tier_3,2025-07-15,0
100253,control,tenured,tier_3,2025-07-15,0
100254,treatment,tenured,tier_3,2025-07-15,0
100255,treatment,tenured,tier_1,2025-07-15,0
100256,treatment,new,tier_1,2025-07-15,0
100257,treatment,new,tier_3,2025-07-15,0
100258,control,returning,tier_2,2025-07-15,0
100259,treatment,returning,tier_2,2025-07-15,0
100260,control,returning,tier_3,2025-07-15,0
100261,control,returning,tier_3,2025-07-15,1
100262,control,tenured,tier_3,2025-07-15,0
100263,treatment,new,tier_3,2025-07-15,0
100264,treatment,new,tier_2,2025-07-15,0
100265,control,returning,tier_2,2025-07-15,0
100266,control,returning,tier_1,2025-07-15,0
100267,control,returning,tier_3,2025-07-15,0
100268,control,returning,tier_3,2025-07-15,0
100269,control,tenured,tier_2,2025-07-15,1
100270,treatment,returning,tier_1,2025-07-15,0
100271,treatment,new,tier_2,2025-07-15,0
100272,control,new,tier_1,2025-07-15,0
100273,control,tenured,tier_2,2025-07-15,0
100274,treatment,tenured,tier_2,2025-07-15,0
100275,control,tenured,tier_3,2025-07-15,0
100276,treatment,new,tier_2,2025-07-15,0
100277,treatment,returning,tier_3,2025-07-15,0
100278,control,tenured,tier_2,2025-07-15,0
100279,treatment,tenured,tier_3,2025-07-15,0
100280,control,tenured,tier_3,2025-07-15,1
100281,treatment,new,tier_2,2025-07-15,0
100282,treatment,new,tier_1,2025-07-15,0
100283,treatment,new,tier_1,2025-07-15,0
100284,control,tenured,tier_3,2025-07-15,0
100285,treatment,returning,tier_2,2025-07-15,0
100286,treatment,returning,tier_3,2025-07-15,0
100287,control,new,tier_3,2025-07-15,0
100288,control,returning,tier_3,2025-07-15,1
100289,control,tenured,tier_2,2025-07-15,1
100290,control,returning,tier_1,2025-07-15,0
100291,control,tenured,tier_2,2025-07-15,0
100292,control,tenured,tier_2,2025-07-15,1
100293,control,new,tier_2,2025-07-15,0
100294,control,new,tier_1,2025-07-15,0
100295,treatment,returning,tier_1,2025-07-15,0
100296,treatment,new,tier_1,2025-07-15,0
100297,control,tenured,tier_2,2025-07-15,0
100298,treatment,new,tier_1,2025-07-15,0
100299,treatment,returning,tier_3,2025-07-15,0
100300,treatment,tenured,tier_3,2025-07-15,0
100301,control,tenured,tier_2,2025-07-15,0
100302,control,tenured,tier_3,2025-07-15,0
100303,treatment,returning,tier_1,2025-07-15,0
100304,control,returning,tier_2,2025-07-15,0
100305,control,returning,tier_1,2025-07-15,0
100306,control,returning,tier_2,2025-07-15,0
100307,treatment,new,tier_1,2025-07-15,0
100308,treatment,returning,tier_2,2025-07-15,0
100309,treatment,tenured,tier_2,2025-07-15,1
100310,treatment,tenured,tier_2,2025-07-15,1
100311,control,new,tier_1,2025-07-15,1
100312,treatment,tenured,tier_3,2025-07-15,0
100313,control,returning,tier_3,2025-07-15,1
100314,control,tenured,tier_3,2025-07-15,1
100315,control,returning,tier_2,2025-07-15,0
100316,treatment,new,tier_1,2025-07-15,0
100317,treatment,tenured,tier_3,2025-07-15,1
100318,control,tenured,tier_2,2025-07-15,0
100319,control,tenured,tier_3,2025-07-15,0
100320,treatment,tenured,tier_3,2025-07-15,0
100321,control,returning,tier_1,2025-07-15,0
100322,control,tenured,tier_3,2025-07-15,1
100323,control,returning,tier_2,2025-07-15,0
100324,control,returning,tier_3,2025-07-15,0
100325,control,new,tier_2,2025-07-15,0
100326,treatment,returning,tier_1,2025-07-15,1
100327,treatment,new,tier_2,2025-07-15,0
100328,control,tenured,tier_3,2025-07-15,0
100329,control,new,tier_1,2025-07-15,0
100330,treatment,new,tier_2,2025-07-15,0
100331,treatment,tenured,tier_3,2025-07-15,0
100332,treatment,tenured,tier_3,2025-07-15,0
100333,control,new,tier_3,2025-07-15,0
100334,control,returning,tier_1,2025-07-15,0
100335,control,tenured,tier_3,2025-07-15,0
100336,treatment,returning,tier_2,2025-07-15,0
100337,treatment,returning,tier_3,2025-07-15,0
100338,control,tenured,tier_2,2025-07-15,0
100339,treatment,new,tier_3,2025-07-15,0
100340,treatment,tenured,tier_1,2025-07-15,1
100341,control,tenured,tier_1,2025-07-15,0
100342,control,new,tier_3,2025-07-15,1
100343,control,new,tier_2,2025-07-15,1
100344,treatment,new,tier_3,2025-07-15,0
100345,treatment,returning,tier_3,2025-07-15,0
100346,control,new,tier_2,2025-07-15,0
100347,control,new,tier_1,2025-07-15,0
100348,treatment,returning,tier_1,2025-07-15,0
100349,control,new,tier_1,2025-07-15,0
100350,control,returning,tier_1,2025-07-15,0
100351,control,tenured,tier_1,2025-07-15,0
100352,control,returning,tier_3,2025-07-15,0
100353,control,returning,tier_1,2025-07-15,0
100354,treatment,returning,tier_1,2025-07-15,0
100355,treatment,returning,tier_2,2025-07-15,0
100356,control,tenured,tier_3,2025-07-15,0
100357,control,tenured,tier_3,2025-07-15,0
100358,control,tenured,tier_3,2025-07-15,0
100359,treatment,new,tier_2,2025-07-15,0
100360,control,returning,tier_2,2025-07-15,0
100361,treatment,tenured,tier_2,2025-07-15,0
100362,control,tenured,tier_2,2025-07-15,0
100363,treatment,returning,tier_1,2025-07-15,0
100364,treatment,new,tier_3,2025-07-15,0
100365,control,returning,tier_3,2025-07-15,0
100366,control,tenured,tier_3,2025-07-15,0
100367,control,tenured,tier_1,2025-07-15,0
100368,control,returning,tier_2,2025-07-15,0
100369,control,tenured,tier_1,2025-07-15,0
100370,control,tenured,tier_1,2025-07-15,0
100371,treatment,returning,tier_3,2025-07-15,0
100372,treatment,returning,tier_1,2025-07-15,0
100373,control,tenured,tier_1,2025-07-15,0
100374,control,new,tier_1,2025-07-15,0
100375,control,new,tier_1,2025-07-15,0
100376,treatment,returning,tier_2,2025-07-15,0
100377,treatment,tenured,tier_1,2025-07-15,0
100378,control,tenured,tier_2,2025-07-15,0
100379,treatment,new,tier_3,2025-07-15,0
100380,treatment,returning,tier_3,2025-07-15,0
100381,control,new,tier_2,2025-07-15,0
100382,treatment,returning,tier_3,2025-07-15,0
100383,control,returning,tier_2,2025-07-15,0
100384,control,returning,tier_1,2025-07-15,0
100385,treatment,new,tier_1,2025-07-15,0
100386,treatment,returning,tier_2,2025-07-15,0
100387,treatment,tenured,tier_1,2025-07-15,0
100388,treatment,tenured,tier_2,2025-07-15,0
100389,control,tenured,tier_2,2025-07-15,0
100390,treatment,new,tier_2,2025-07-15,0
100391,treatment,new,tier_1,2025-07-15,0
100392,treatment,returning,tier_3,2025-07-15,0
100393,control,tenured,tier_2,2025-07-15,0
100394,treatment,tenured,tier_2,2025-07-15,0
100395,treatment,new,tier_2,2025-07-15,0
100396,control,new,tier_2,2025-07-15,0
100397,control,returning,tier_1,2025-07-15,0
100398,treatment,new,tier_2,2025-07-15,0
100399,control,new,tier_1,2025-07-15,0
100400,control,new,tier_2,2025-07-15,0
100401,treatment,returning,tier_2,2025-07-15,0
100402,treatment,returning,tier_3,2025-07-15,0
100403,control,returning,tier_1,2025-07-15,0
100404,treatment,new,tier_1,2025-07-15,0
100405,control,new,tier_1,2025-07-15,0
100406,control,returning,tier_1,2025-07-15,0
100407,treatment,returning,tier_3,2025-07-15,1
100408,control,returning,tier_1,2025-07-15,0
100409,control,new,tier_1,2025-07-15,0
100410,control,tenured,tier_2,2025-07-15,0
100411,control,tenured,tier_1,2025-07-15,0
100412,treatment,returning,tier_1,2025-07-15,0
100413,treatment,tenured,tier_2,2025-07-15,0
100414,control,returning,tier_2,2025-07-15,1
100415,treatment,tenured,tier_1,2025-07-15,0
100416,treatment,returning,tier_1,2025-07-15,0
100417,treatment,returning,tier_3,2025-07-15,0
100418,control,returning,tier_2,2025-07-15,0
100419,control,tenured,tier_2,2025-07-15,0
100420,treatment,new,tier_2,2025-07-15,0
100421,treatment,tenured,tier_2,2025-07-15,0
100422,control,tenured,tier_1,2025-07-15,0
100423,treatment,returning,tier_3,2025-07-15,1
100424,treatment,new,tier_3,2025-07-15,0
100425,treatment,tenured,tier_1,2025-07-15,0
100426,control,returning,tier_3,2025-07-15,1
100427,control,returning,tier_1,2025-07-15,0
100428,control,returning,tier_2,2025-07-15,0
100429,treatment,tenured,tier_3,2025-07-15,0
100430,treatment,tenured,tier_2,2025-07-15,0
100431,control,returning,tier_1,2025-07-15,0
100432,treatment,tenured,tier_3,2025-07-15,0
100433,control,returning,tier_1,2025-07-15,0
100434,control,returning,tier_3,2025-07-15,1
100435,treatment,new,tier_3,2025-07-15,0
100436,treatment,returning,tier_2,2025-07-15,0
100437,treatment,new,tier_3,2025-07-15,0
100438,control,new,tier_2,2025-07-15,0
100439,treatment,new,tier_3,2025-07-15,0
100440,control,new,tier_1,2025-07-15,0
100441,control,new,tier_2,2025-07-15,0
100442,control,tenured,tier_2,2025-07-15,0
100443,treatment,new,tier_2,2025-07-15,0
100444,treatment,tenured,tier_1,2025-07-15,0
100445,control,returning,tier_3,2025-07-15,1
100446,treatment,new,tier_2,2025-07-15,0
100447,control,new,tier_1,2025-07-15,0
100448,treatment,returning,tier_2,2025-07-15,1
100449,treatment,returning,tier_1,2025-07-15,0
100450,treatment,tenured,tier_2,2025-07-15,0
100451,control,tenured,tier_3,2025-07-15,0
100452,treatment,tenured,tier_2,2025-07-15,1
100453,treatment,new,tier_2,2025-07-15,0
100454,treatment,tenured,tier_3,2025-07-15,0
100455,control,returning,tier_3,2025-07-15,1
100456,treatment,tenured,tier_2,2025-07-15,0
100457,treatment,new,tier_1,2025-07-15,0
100458,treatment,returning,tier_1,2025-07-15,0
100459,control,tenured,tier_1,2025-07-15,0
100460,control,new,tier_3,2025-07-15,0
100461,treatment,returning,tier_2,2025-07-15,0
100462,treatment,returning,tier_2,2025-07-15,0
100463,treatment,new,tier_1,2025-07-15,0
100464,treatment,tenured,tier_1,2025-07-15,0
100465,control,returning,tier_3,2025-07-15,0
100466,control,new,tier_1,2025-07-15,0
100467,treatment,new,tier_2,2025-07-15,0
100468,control,tenured,tier_3,2025-07-15,0
100469,treatment,tenured,tier_3,2025-07-15,1
100470,control,new,tier_2,2025-07-15,0
100471,treatment,returning,tier_1,2025-07-15,0
100472,control,returning,tier_1,2025-07-15,0
100473,treatment,returning,tier_2,2025-07-15,0
100474,treatment,tenured,tier_2,2025-07-15,0
100475,treatment,new,tier_1,2025-07-15,0
100476,treatment,tenured,tier_3,2025-07-15,0
100477,control,returning,tier_3,2025-07-15,0
100478,treatment,returning,tier_1,2025-07-15,0
100479,control,tenured,tier_1,2025-07-15,0
100480,control,tenured,tier_2,2025-07-15,1
100481,control,tenured,tier_1,2025-07-15,0
100482,control,new,tier_2,2025-07-15,0
100483,control,returning,tier_2,2025-07-15,0
100484,treatment,returning,tier_1,2025-07-15,0
100485,control,new,tier_2,2025-07-15,0
100486,control,new,tier_2,2025-07-15,0
100487,control,returning,tier_2,2025-07-15,0
100488,control,new,tier_2,2025-07-15,0
100489,treatment,returning,tier_1,2025-07-15,0
100490,control,returning,tier_1,2025-07-15,0
100491,treatment,new,tier_1,2025-07-15,0
100492,treatment,new,tier_2,2025-07-15,0
100493,control,returning,tier_2,2025-07-15,0
100494,control,returning,tier_2,2025-07-15,1
100495,control,tenured,tier_3,2025-07-15,1
100496,treatment,tenured,tier_1,2025-07-15,0
100497,treatment,tenured,tier_2,2025-07-15,0
100498,treatment,returning,tier_2,2025-07-15,0
100499,control,tenured,tier_2,2025-07-15,1
100500,control,tenured,tier_1,2025-07-15,0
100501,treatment,tenured,tier_3,2025-07-15,0
100502,control,new,tier_3,2025-07-15,0
100503,treatment,returning,tier_2,2025-07-15,0
100504,control,new,tier_2,2025-07-15,0
100505,treatment,returning,tier_1,2025-07-15,0
100506,treatment,returning,tier_2,2025-07-15,0
100507,treatment,new,tier_1,2025-07-15,0
100508,control,tenured,tier_2,2025-07-15,0
100509,treatment,tenured,tier_3,2025-07-15,0
100510,treatment,returning,tier_2,2025-07-15,0
100511,treatment,new,tier_2,2025-07-15,0
100512,control,tenured,tier_2,2025-07-15,0
100513,control,returning,tier_1,2025-07-15,1
100514,treatment,tenured,tier_1,2025-07-15,0
100515,treatment,new,tier_1,2025-07-15,1
100516,control,tenured,tier_1,2025-07-15,0
100517,control,new,tier_1,2025-07-15,0
100518,treatment,returning,tier_3,2025-07-15,0
100519,treatment,returning,tier_3,2025-07-15,0
100520,treatment,returning,tier_1,2025-07-15,0
100521,control,new,tier_3,2025-07-15,0
100522,control,returning,tier_1,2025-07-15,0
100523,control,new,tier_3,2025-07-15,0
100524,control,new,tier_3,2025-07-15,0
100525,control,new,tier_1,2025-07-15,0
100526,treatment,tenured,tier_3,2025-07-15,0
100527,control,tenured,tier_2,2025-07-15,1
100528,treatment,new,tier_3,2025-07-15,0
100529,treatment,returning,tier_1,2025-07-15,0
100530,control,returning,tier_1,2025-07-15,0
100531,control,new,tier_2,2025-07-15,0
100532,treatment,tenured,tier_3,2025-07-15,0
100533,treatment,returning,tier_2,2025-07-15,0
100534,control,returning,tier_3,2025-07-15,0
100535,control,tenured,tier_2,2025-07-15,0
100536,control,new,tier_1,2025-07-15,0
100537,treatment,returning,tier_3,2025-07-15,0
100538,control,new,tier_1,2025-07-15,0
100539,treatment,returning,tier_2,2025-07-15,0
100540,control,returning,tier_2,2025-07-15,0
100541,treatment,new,tier_2,2025-07-15,0
100542,treatment,new,tier_3,2025-07-15,0
100543,control,returning,tier_2,2025-07-15,0
100544,control,new,tier_3,2025-07-15,0
100545,control,tenured,tier_3,2025-07-15,0
100546,control,tenured,tier_1,2025-07-15,0
100547,control,new,tier_1,2025-07-15,0
100548,control,new,tier_2,2025-07-15,0
100549,control,tenured,tier_2,2025-07-15,0
100550,control,new,tier_1,2025-07-15,1
100551,treatment,returning,tier_1,2025-07-15,0
100552,control,returning,tier_2,2025-07-15,0
100553,control,returning,tier_1,2025-07-15,0
100554,treatment,tenured,tier_2,2025-07-15,1
100555,treatment,tenured,tier_1,2025-07-15,0
100556,control,new,tier_3,2025-07-15,0
100557,treatment,returning,tier_3,2025-07-15,0
100558,treatment,new,tier_3,2025-07-15,0
100559,control,returning,tier_3,2025-07-15,1
100560,treatment,returning,tier_3,2025-07-15,0
100561,control,tenured,tier_3,2025-07-15,0
100562,treatment,new,tier_2,2025-07-15,1
100563,treatment,returning,tier_2,2025-07-15,0
100564,treatment,new,tier_3,2025-07-15,0
100565,treatment,new,tier_2,2025-07-15,0
100566,treatment,returning,tier_1,2025-07-15,0
100567,control,returning,tier_1,2025-07-15,0
100568,treatment,returning,tier_2,2025-07-15,0
100569,treatment,returning,tier_2,2025-07-15,1
100570,treatment,tenured,tier_2,2025-07-15,0
100571,control,tenured,tier_1,2025-07-15,0
100572,treatment,tenured,tier_3,2025-07-15,1
100573,control,returning,tier_1,2025-07-15,0
100574,control,returning,tier_2,2025-07-15,0
100575,control,returning,tier_1,2025-07-15,0
100576,treatment,tenured,tier_1,2025-07-15,1
100577,control,tenured,tier_1,2025-07-15,0
100578,treatment,tenured,tier_2,2025-07-15,1
100579,control,new,tier_1,2025-07-15,0
100580,treatment,new,tier_1,2025-07-15,0
100581,control,tenured,tier_1,2025-07-15,0
100582,control,tenured,tier_1,2025-07-15,1
100583,control,tenured,tier_1,2025-07-15,0
100584,control,new,tier_1,2025-07-15,0
100585,control,new,tier_2,2025-07-15,0
100586,treatment,new,tier_3,2025-07-15,0
100587,control,returning,tier_3,2025-07-15,0
100588,treatment,new,tier_3,2025-07-15,0
100589,treatment,new,tier_2,2025-07-15,0
100590,treatment,returning,tier_2,2025-07-15,0
100591,treatment,tenured,tier_2,2025-07-15,0
100592,control,returning,tier_1,2025-07-15,0
100593,control,tenured,tier_2,2025-07-15,0
100594,treatment,returning,tier_1,2025-07-15,1
100595,treatment,new,tier_2,2025-07-15,0
100596,control,tenured,tier_1,2025-07-15,1
100597,control,returning,tier_3,2025-07-15,0
100598,treatment,tenured,tier_1,2025-07-15,0
100599,treatment,new,tier_1,2025-07-15,1
100600,treatment,new,tier_1,2025-07-15,0
100601,control,returning,tier_2,2025-07-15,0
100602,treatment,new,tier_2,2025-07-15,0
100603,treatment,new,tier_3,2025-07-15,0
100604,control,new,tier_3,2025-07-15,0
